dataset,model,kc,poison_rate,seed,adaptive_run,fixed_run,fixed_clean_acc_pct,adaptive_clean_acc_pct,clean_acc_improvement_pp,fixed_valid_asr_pct,adaptive_valid_asr_pct,valid_asr_improvement_pp,fixed_wrong_asr_pct,adaptive_wrong_asr_pct,wrong_asr_improvement_pp,fixed_single_leak_pct,adaptive_single_leak_pct,single_leak_improvement_pp,fixed_invalid_leak_pct,adaptive_invalid_leak_pct,invalid_leak_improvement_pp,fixed_csg_pct,adaptive_csg_pct,csg_improvement_pp
cifar10,resnet18,4,0.01,0,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed0,cifar10_resnet18_full_dyn_pr0.01_kc4_seed0,93.78,93.85,0.07000000000000339,99.78055555555555,99.82777777777778,0.047222222222231824,0.15555555555555556,0.13333333333333333,0.02222222222222222,2.1187500000000004,1.39,0.7287500000000002,2.2075,2.2191666666666663,-0.011666666666666423,97.57305555555556,97.60861111111112,0.03555555555556644
cifar10,vgg11,4,0.01,0,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed0,cifar10_vgg11_full_dyn_pr0.01_kc4_seed0,90.36,90.56,0.20000000000000018,98.95277777777778,99.22500000000001,0.27222222222222925,0.4888888888888889,0.36666666666666664,0.12222222222222222,4.31875,3.7699999999999996,0.54875,5.540833333333333,5.29,0.2508333333333328,93.41194444444444,93.93500000000002,0.5230555555555627
cifar100,resnet18,4,0.01,0,cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed0,cifar100_resnet18_full_dyn_pr0.01_kc4_seed0,76.11,75.03,-1.0800000000000032,99.0050505050505,98.81565656565657,-0.18939393939393367,0.030303030303030304,0.0101010101010101,0.0202020202020202,0.8862500000000001,1.38,-0.4937499999999999,0.695,1.0808333333333333,-0.38583333333333336,98.1188005050505,97.43565656565657,-0.6831439393939376
cifar100,vgg11,4,0.01,0,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed0,cifar100_vgg11_full_dyn_pr0.01_kc4_seed0,68.34,67.53,-0.8099999999999996,99.04545454545455,98.63131313131312,-0.41414141414142236,0.0707070707070707,0.13131313131313133,-0.06060606060606061,1.9675000000000002,1.6199999999999999,0.34750000000000025,0.7983333333333333,1.1925,-0.3941666666666666,97.07795454545455,97.01131313131313,-0.06664141414142177
gtsrb,resnet18,4,0.01,0,gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr001_seed0,gtsrb_resnet18_full_dyn_pr0.01_kc4_seed0,98.47189231987332,98.18685669041963,-0.2850356294536893,99.99368686868686,99.99158249158249,-0.0021043771043838255,0.0,0.0,0.0,0.5393903404592241,0.4691211401425178,0.07026920031670625,0.34441805225653205,0.11150699392979678,0.23291105832673528,99.45429652822764,99.52246135143997,0.06816482321232442
gtsrb,vgg11,4,0.01,0,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr001_seed0,gtsrb_vgg11_full_dyn_pr0.01_kc4_seed0,96.84877276326208,96.62707838479811,-0.22169437846396578,99.74459785731227,99.48556632202656,-0.2590315352857031,0.015910898965791568,0.0477326968973747,-0.03182179793158313,0.8382818685669042,1.0302850356294535,-0.19200316706254936,0.3846661388229084,0.5106888361045131,-0.12602269728160467,98.90631598874536,98.45528128639711,-0.45103470234825194
cifar10,resnet18,4,0.01,1,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed1,cifar10_resnet18_full_dyn_pr0.01_kc4_seed1,93.83,94.07,0.23999999999999577,99.93333333333334,99.95,0.01666666666666483,0.06666666666666667,0.07777777777777778,-0.01111111111111111,1.90875,2.40625,-0.49750000000000005,2.39,2.5108333333333333,-0.12083333333333321,97.54333333333334,97.43916666666668,-0.10416666666666075
cifar10,vgg11,4,0.01,1,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed1,cifar10_vgg11_full_dyn_pr0.01_kc4_seed1,90.45,90.21000000000001,-0.23999999999999577,98.21111111111111,98.63888888888889,0.4277777777777714,0.7666666666666666,0.8,-0.033333333333333395,3.57125,3.8524999999999996,-0.28124999999999956,4.605833333333333,5.304166666666667,-0.6983333333333335,93.60527777777779,93.33472222222223,-0.27055555555556277
cifar100,resnet18,4,0.01,1,cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed1,cifar100_resnet18_full_dyn_pr0.01_kc4_seed1,75.83,75.64999999999999,-0.18000000000000238,99.33080808080807,98.94444444444444,-0.38636363636362914,0.0202020202020202,0.0202020202020202,0.0,1.0775,1.55,-0.47250000000000003,0.5433333333333333,1.0108333333333335,-0.4675,98.25330808080808,97.39444444444445,-0.8588636363636271
cifar100,vgg11,4,0.01,1,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed1,cifar100_vgg11_full_dyn_pr0.01_kc4_seed1,68.8,67.51,-1.2899999999999912,98.7878787878788,99.1590909090909,0.37121212121211666,0.050505050505050504,0.050505050505050504,0.0,1.68875,1.2175,0.47124999999999995,1.0708333333333333,0.8574999999999999,0.21333333333333343,97.09912878787878,97.9415909090909,0.8424621212121175
