dataset,model,config,kc,poison_rate,seed,run_tag
cifar10,resnet18,configs/cifar10_resnet18.yaml,4,0.01,0,adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed0
cifar10,vgg11,configs/cifar10_vgg11.yaml,4,0.01,0,adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed0
cifar100,resnet18,configs/cifar100_resnet18.yaml,4,0.01,0,adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed0
cifar100,vgg11,configs/cifar100_vgg11.yaml,4,0.01,0,adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed0
gtsrb,resnet18,configs/gtsrb_resnet18.yaml,4,0.01,0,adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr001_seed0
gtsrb,vgg11,configs/gtsrb_vgg11.yaml,4,0.01,0,adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr001_seed0
cifar10,resnet18,configs/cifar10_resnet18.yaml,4,0.01,1,adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed1
cifar10,vgg11,configs/cifar10_vgg11.yaml,4,0.01,1,adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed1
cifar100,resnet18,configs/cifar100_resnet18.yaml,4,0.01,1,adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed1
cifar100,vgg11,configs/cifar100_vgg11.yaml,4,0.01,1,adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed1
gtsrb,resnet18,configs/gtsrb_resnet18.yaml,4,0.01,1,adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr001_seed1
gtsrb,vgg11,configs/gtsrb_vgg11.yaml,4,0.01,1,adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr001_seed1
cifar10,resnet18,configs/cifar10_resnet18.yaml,4,0.01,2,adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed2
cifar10,vgg11,configs/cifar10_vgg11.yaml,4,0.01,2,adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed2
cifar100,resnet18,configs/cifar100_resnet18.yaml,4,0.01,2,adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed2
cifar100,vgg11,configs/cifar100_vgg11.yaml,4,0.01,2,adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed2
gtsrb,resnet18,configs/gtsrb_resnet18.yaml,4,0.01,2,adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr001_seed2
gtsrb,vgg11,configs/gtsrb_vgg11.yaml,4,0.01,2,adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr001_seed2
cifar10,resnet18,configs/cifar10_resnet18.yaml,4,0.05,0,adaptive72_tuned_v2_cifar10_resnet18_kc4_pr005_seed0
cifar10,vgg11,configs/cifar10_vgg11.yaml,4,0.05,0,adaptive72_tuned_v2_cifar10_vgg11_kc4_pr005_seed0
cifar100,resnet18,configs/cifar100_resnet18.yaml,4,0.05,0,adaptive72_tuned_v2_cifar100_resnet18_kc4_pr005_seed0
cifar100,vgg11,configs/cifar100_vgg11.yaml,4,0.05,0,adaptive72_tuned_v2_cifar100_vgg11_kc4_pr005_seed0
gtsrb,resnet18,configs/gtsrb_resnet18.yaml,4,0.05,0,adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr005_seed0
gtsrb,vgg11,configs/gtsrb_vgg11.yaml,4,0.05,0,adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr005_seed0
cifar10,resnet18,configs/cifar10_resnet18.yaml,4,0.05,1,adaptive72_tuned_v2_cifar10_resnet18_kc4_pr005_seed1
cifar10,vgg11,configs/cifar10_vgg11.yaml,4,0.05,1,adaptive72_tuned_v2_cifar10_vgg11_kc4_pr005_seed1
cifar100,resnet18,configs/cifar100_resnet18.yaml,4,0.05,1,adaptive72_tuned_v2_cifar100_resnet18_kc4_pr005_seed1
cifar100,vgg11,configs/cifar100_vgg11.yaml,4,0.05,1,adaptive72_tuned_v2_cifar100_vgg11_kc4_pr005_seed1
gtsrb,resnet18,configs/gtsrb_resnet18.yaml,4,0.05,1,adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr005_seed1
gtsrb,vgg11,configs/gtsrb_vgg11.yaml,4,0.05,1,adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr005_seed1
cifar10,resnet18,configs/cifar10_resnet18.yaml,4,0.05,2,adaptive72_tuned_v2_cifar10_resnet18_kc4_pr005_seed2
cifar10,vgg11,configs/cifar10_vgg11.yaml,4,0.05,2,adaptive72_tuned_v2_cifar10_vgg11_kc4_pr005_seed2
cifar100,resnet18,configs/cifar100_resnet18.yaml,4,0.05,2,adaptive72_tuned_v2_cifar100_resnet18_kc4_pr005_seed2
cifar100,vgg11,configs/cifar100_vgg11.yaml,4,0.05,2,adaptive72_tuned_v2_cifar100_vgg11_kc4_pr005_seed2
