run_name,summary_path,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,w_clean,w_valid,w_single,w_invalid
cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed0,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed0/summary.json,cifar10,resnet18,4,0.01,0,0.9385,0.9982777777777778,0.0013333333333333333,0.0139,0.022191666666666665,0.9760861111111112,0.8959198533270992,1.0177151884327347,0.9351512547344006,1.1512137035057655
cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed0,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed0/summary.json,cifar10,vgg11,4,0.01,0,0.9056,0.9922500000000001,0.0036666666666666666,0.0377,0.0529,0.9393500000000001,0.6876659985872188,0.8799959628963835,1.0550468266251951,1.3772912118912028
cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed0,./results/cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed0/summary.json,cifar100,resnet18,4,0.01,0,0.7503,0.9881565656565657,0.00010101010101010101,0.0138,0.010808333333333333,0.9743565656565657,0.7721094798995536,1.364532653564901,1.0456162461811929,0.8177416203543526
cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed0,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed0/summary.json,cifar100,vgg11,4,0.01,0,0.6753,0.9863131313131313,0.0013131313131313131,0.0162,0.011925,0.9701131313131313,0.7964650535337335,1.318097240808212,1.005354843023366,0.880082862634689
gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr001_seed0,./results/gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr001_seed0/summary.json,gtsrb,resnet18,4,0.01,0,0.9818685669041963,0.9999158249158249,0.0,0.0046912114014251785,0.0011150699392979677,0.9952246135143997,0.8669591347890713,1.2487870559388603,0.9303803434882303,0.9538734657838382
gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr001_seed0,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr001_seed0/summary.json,gtsrb,vgg11,4,0.01,0,0.966270783847981,0.9948556632202656,0.00047732696897374703,0.010302850356294536,0.005106888361045131,0.9845528128639711,0.9482382000143673,1.1230111634972892,0.97996345581408,0.9487871806742628
cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed1,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr001_seed1/summary.json,cifar10,resnet18,4,0.01,1,0.9407,0.9995,0.0007777777777777777,0.0240625,0.025108333333333333,0.9743916666666668,0.7228996454901991,1.0019851875082055,1.1395746149126378,1.1355405520889574
cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed1,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr001_seed1/summary.json,cifar10,vgg11,4,0.01,1,0.9021,0.9863888888888889,0.008,0.038525,0.05304166666666667,0.9333472222222222,0.7101193959660895,1.102245959192139,0.9180942181871079,1.2695404266546642
cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed1,./results/cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr001_seed1/summary.json,cifar100,resnet18,4,0.01,1,0.7565,0.9894444444444445,0.00020202020202020202,0.0155,0.010108333333333334,0.9739444444444445,0.7298704867088912,1.111320729662381,1.2420681711826884,0.9167406124460395
cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed1,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc4_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr001_seed1/summary.json,cifar100,vgg11,4,0.01,1,0.6751,0.9915909090909091,0.000505050505050505,0.012175,0.008575,0.979415909090909,0.8117013474901684,1.4353683932444021,0.8946243678095888,0.858305891455841
