variant,dataset,model,config,kc,poison_rate,seed,run_tag
equal,cifar10,vgg11,configs/cifar10_vgg11.yaml,8,0.01,0,mech24_equal_cifar10_vgg11_kc8_pr001_seed0
equal,gtsrb,vgg11,configs/gtsrb_vgg11.yaml,8,0.01,0,mech24_equal_gtsrb_vgg11_kc8_pr001_seed0
equal,cifar100,vgg11,configs/cifar100_vgg11.yaml,8,0.01,0,mech24_equal_cifar100_vgg11_kc8_pr001_seed0
equal,cifar10,resnet18,configs/cifar10_resnet18.yaml,8,0.01,0,mech24_equal_cifar10_resnet18_kc8_pr001_seed0
equal,cifar10,vgg11,configs/cifar10_vgg11.yaml,8,0.01,1,mech24_equal_cifar10_vgg11_kc8_pr001_seed1
equal,gtsrb,vgg11,configs/gtsrb_vgg11.yaml,8,0.01,1,mech24_equal_gtsrb_vgg11_kc8_pr001_seed1
equal,cifar100,vgg11,configs/cifar100_vgg11.yaml,8,0.01,1,mech24_equal_cifar100_vgg11_kc8_pr001_seed1
equal,cifar10,resnet18,configs/cifar10_resnet18.yaml,8,0.01,1,mech24_equal_cifar10_resnet18_kc8_pr001_seed1
equal,cifar10,vgg11,configs/cifar10_vgg11.yaml,8,0.01,2,mech24_equal_cifar10_vgg11_kc8_pr001_seed2
equal,gtsrb,vgg11,configs/gtsrb_vgg11.yaml,8,0.01,2,mech24_equal_gtsrb_vgg11_kc8_pr001_seed2
equal,cifar100,vgg11,configs/cifar100_vgg11.yaml,8,0.01,2,mech24_equal_cifar100_vgg11_kc8_pr001_seed2
equal,cifar10,resnet18,configs/cifar10_resnet18.yaml,8,0.01,2,mech24_equal_cifar10_resnet18_kc8_pr001_seed2
no_ema,cifar10,vgg11,configs/cifar10_vgg11.yaml,8,0.01,0,mech24_no_ema_cifar10_vgg11_kc8_pr001_seed0
no_ema,gtsrb,vgg11,configs/gtsrb_vgg11.yaml,8,0.01,0,mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed0
no_ema,cifar100,vgg11,configs/cifar100_vgg11.yaml,8,0.01,0,mech24_no_ema_cifar100_vgg11_kc8_pr001_seed0
no_ema,cifar10,resnet18,configs/cifar10_resnet18.yaml,8,0.01,0,mech24_no_ema_cifar10_resnet18_kc8_pr001_seed0
no_ema,cifar10,vgg11,configs/cifar10_vgg11.yaml,8,0.01,1,mech24_no_ema_cifar10_vgg11_kc8_pr001_seed1
no_ema,gtsrb,vgg11,configs/gtsrb_vgg11.yaml,8,0.01,1,mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed1
no_ema,cifar100,vgg11,configs/cifar100_vgg11.yaml,8,0.01,1,mech24_no_ema_cifar100_vgg11_kc8_pr001_seed1
no_ema,cifar10,resnet18,configs/cifar10_resnet18.yaml,8,0.01,1,mech24_no_ema_cifar10_resnet18_kc8_pr001_seed1
no_ema,cifar10,vgg11,configs/cifar10_vgg11.yaml,8,0.01,2,mech24_no_ema_cifar10_vgg11_kc8_pr001_seed2
no_ema,gtsrb,vgg11,configs/gtsrb_vgg11.yaml,8,0.01,2,mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed2
no_ema,cifar100,vgg11,configs/cifar100_vgg11.yaml,8,0.01,2,mech24_no_ema_cifar100_vgg11_kc8_pr001_seed2
no_ema,cifar10,resnet18,configs/cifar10_resnet18.yaml,8,0.01,2,mech24_no_ema_cifar10_resnet18_kc8_pr001_seed2
