variant,run_name,summary_path,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,w_clean,w_valid,w_single,w_invalid
equal,cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_vgg11_kc8_pr001_seed0,./results/cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_vgg11_kc8_pr001_seed0/summary.json,cifar10,vgg11,8,0.01,0,0.9057,0.9830694444444443,0.029222222222222222,0.08070625,0.12299285714285714,0.8600765873015872,1.0,1.0,1.0,1.0
equal,gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_gtsrb_vgg11_kc8_pr001_seed0,./results/gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_gtsrb_vgg11_kc8_pr001_seed0/summary.json,gtsrb,vgg11,8,0.01,0,0.9667458432304038,0.9545795276135951,0.005709487825356843,0.020724465558194776,0.02598970704671417,0.9285898205668809,1.0,1.0,1.0,1.0
equal,cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar100_vgg11_kc8_pr001_seed0,./results/cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar100_vgg11_kc8_pr001_seed0/summary.json,cifar100,vgg11,8,0.01,0,0.6811,0.9645833333333333,0.0036363636363636364,0.0384,0.03454107142857143,0.9261833333333334,1.0,1.0,1.0,1.0
equal,cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_resnet18_kc8_pr001_seed0,./results/cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_resnet18_kc8_pr001_seed0/summary.json,cifar10,resnet18,8,0.01,0,0.9392,0.994736111111111,0.006333333333333333,0.0331875,0.049575,0.945161111111111,1.0,1.0,1.0,1.0
equal,cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_vgg11_kc8_pr001_seed1,./results/cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_vgg11_kc8_pr001_seed1/summary.json,cifar10,vgg11,8,0.01,1,0.906,0.9781111111111112,0.03322222222222222,0.089,0.13054107142857144,0.8475700396825397,1.0,1.0,1.0,1.0
equal,gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_gtsrb_vgg11_kc8_pr001_seed1,./results/gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_gtsrb_vgg11_kc8_pr001_seed1/summary.json,gtsrb,vgg11,8,0.01,1,0.9671417260490894,0.9401434925788175,0.012121212121212121,0.020773950910530484,0.019606096595407758,0.919369541668287,1.0,1.0,1.0,1.0
equal,cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar100_vgg11_kc8_pr001_seed1,./results/cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar100_vgg11_kc8_pr001_seed1/summary.json,cifar100,vgg11,8,0.01,1,0.6776,0.9733838383838384,0.0036363636363636364,0.04501875,0.029448214285714286,0.9283650883838384,1.0,1.0,1.0,1.0
equal,cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_resnet18_kc8_pr001_seed1,./results/cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_resnet18_kc8_pr001_seed1/summary.json,cifar10,resnet18,8,0.01,1,0.9431,0.9953472222222223,0.008,0.0271125,0.04074642857142857,0.9546007936507936,1.0,1.0,1.0,1.0
equal,cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar10_vgg11_kc8_pr001_seed2,./results/cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar10_vgg11_kc8_pr001_seed2/summary.json,cifar10,vgg11,8,0.01,2,0.9084,0.9752777777777779,0.035777777777777776,0.09346875,0.13229107142857144,0.8429867063492065,1.0,1.0,1.0,1.0
equal,gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_gtsrb_vgg11_kc8_pr001_seed2,./results/gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_gtsrb_vgg11_kc8_pr001_seed2/summary.json,gtsrb,vgg11,8,0.01,2,0.967458432304038,0.934919854025133,0.021127946127946128,0.02178840063341251,0.02256956226671191,0.9123502917584211,1.0,1.0,1.0,1.0
