baseline,dataset,model,kc,poison_rate,n,clean_acc_adaptive_improvement_pp_mean,clean_acc_adaptive_improvement_pp_std,valid_asr_adaptive_improvement_pp_mean,valid_asr_adaptive_improvement_pp_std,wrong_asr_adaptive_improvement_pp_mean,wrong_asr_adaptive_improvement_pp_std,single_leak_adaptive_improvement_pp_mean,single_leak_adaptive_improvement_pp_std,invalid_leak_adaptive_improvement_pp_mean,invalid_leak_adaptive_improvement_pp_std,csg_adaptive_improvement_pp_mean,csg_adaptive_improvement_pp_std
full,cifar10,resnet18,4,0.01,3,0.2666666666666669,0.21126602503321049,0.009259259259260707,0.04215760162160678,0.0037037037037037034,0.016972502573910517,0.15041666666666675,0.6160792528833717,-0.04527777777777764,0.06556555950033975,-0.03601851851851393,0.06992408434879106
full,cifar10,resnet18,4,0.05,3,0.1600000000000009,0.0458257569495582,-0.006481481481479534,0.004243125643472721,-0.007407407407407408,0.006415002990995842,0.09375000000000004,0.03938987814147183,0.05388888888888891,0.1621499077785511,0.04740740740741082,0.16196739244054467
full,cifar10,resnet18,8,0.01,3,-0.08999999999999748,0.30199337741083054,0.2180555555555593,0.19398258640187307,0.3185185185185185,0.13348756511807486,0.3670833333333334,0.19223839095855288,0.29738095238095225,0.48520996445749476,0.5154365079365175,0.43653540723445133
full,cifar10,resnet18,8,0.05,3,-0.10999999999999899,0.19519221295943204,0.0018518518518528815,0.006563632814242795,0.0037037037037037043,0.023129622216290363,0.062291666666666745,0.23144783204500602,0.049642857142856885,0.2941236225758532,0.05149470899471117,0.300325469821228
full,cifar10,vgg11,4,0.01,3,-0.056666666666664124,0.2289832599412725,0.5638888888888897,0.37854293427089525,0.27037037037037037,0.39896986694800696,0.144166666666667,0.41539200862959935,0.023333333333333057,0.6390460555477289,0.5872222222222204,0.891594536715673
full,cifar10,vgg11,4,0.05,3,0.11999999999999789,0.4849742261192899,0.0398148148148166,0.050486318074873526,0.05555555555555556,0.04444444444444445,0.06249999999999981,0.1317905535309721,-0.09666666666666678,0.23388476507317316,-0.05685185185185423,0.20972541081705842
full,cifar10,vgg11,8,0.01,3,-0.32333333333333475,0.16653327995728917,0.5699074074074106,0.3164726907519352,0.8000000000000002,0.11547005383792516,0.4166666666666666,0.25228203257135273,0.28392857142857203,0.6279600059977175,0.8538359788359817,0.7229492705625833
full,cifar10,vgg11,8,0.05,3,-0.13999999999999937,0.3235737937472688,-0.0050925925925926485,0.046238389711656065,-0.0814814814814815,0.12239045660635786,0.25375000000000003,0.032816963982062894,0.49535714285714266,0.14092680199453927,0.49026455026454824,0.18595084641619006
full,cifar100,resnet18,4,0.01,3,-0.883333333333336,0.628516772515526,-0.41666666666666147,0.24384055968835147,0.0202020202020202,0.0202020202020202,-0.41791666666666666,0.1134428086452964,-0.42361111111111116,0.04117487547486174,-0.8345833333333311,0.14087735366765305
full,cifar100,resnet18,4,0.05,3,-1.096666666666668,0.4483674088661353,0.0008417508417550105,0.01773679082971774,0.003367003367003367,0.00583182090090531,-0.04416666666666669,0.013768926368215223,-0.05694444444444444,0.022674222596825035,-0.056102693602685015,0.028908972822560053
full,cifar100,resnet18,8,0.01,3,-1.2700000000000007,0.19519221295943234,-0.21506734006733938,0.5140646544606595,0.0,0.06308078786261007,0.11395833333333338,0.5480324655833204,-0.029940476190476423,0.35168419190138955,-0.10110900673400518,0.2262609413454833
full,cifar100,resnet18,8,0.05,3,-1.0466666666666662,0.2413158373031734,0.002946127946124033,0.05082495485939042,0.013468013468013467,0.00583182090090531,0.014375000000000035,0.08186545745917509,-0.07369047619047615,0.09396562504701485,-0.07074434824434854,0.05263900339894144
full,cifar100,vgg11,4,0.01,3,-1.1366666666666636,0.2830783166074931,0.1666666666666631,0.5102697490686817,-0.010101010101010102,0.04628864338339232,0.34333333333333343,0.1300500704856915,-0.07638888888888885,0.3047201964887594,0.5099999999999957,0.5013331774575307
full,cifar100,vgg11,4,0.05,3,-1.3833333333333329,0.26083200212653124,-0.041245791245788276,0.034470699039469414,0.006734006734006734,0.01166364180181062,-0.05458333333333328,0.030216234598859814,-0.018055555555555533,0.06615603049133442,-0.060968013468006475,0.047336680907987365
full,cifar100,vgg11,8,0.01,3,-0.916666666666662,0.3421013495052774,-0.15867003367003493,0.48840031187506205,-0.06397306397306397,0.07845912591064678,-0.03895833333333341,0.6600764436475017,-0.15380952380952365,0.34795009819417094,-0.19762836700336628,1.0570712876028856
full,cifar100,vgg11,8,0.05,3,-0.9433333333333294,0.2055075018906442,-0.050084175084178874,0.011933877844083186,-0.02356902356902357,0.021026929287536692,-0.1995833333333333,0.05440492471581348,-0.2456547619047619,0.056618501939778985,-0.2957389369889392,0.059994957734998855
full,gtsrb,resnet18,4,0.01,3,-0.10820797044075459,0.16155382362420814,-0.02406553446681799,0.03284544789483535,-0.011430672350212579,0.02683421881141582,0.030021113750329915,0.054247623927502764,0.1570335180786487,0.07338084325831083,0.00595557928351198,0.08702721422755583
full,gtsrb,resnet18,4,0.05,3,-0.015835312747425334,0.12291508073048317,-0.0014029180695855163,0.0024299253753785636,0.0,0.0,0.029031406703615727,0.007559012428998148,0.03716899797659893,0.019228902080051364,0.03994484299313742,0.0129617883759222
full,gtsrb,resnet18,8,0.01,3,-0.021113750329904146,0.1693218784095603,0.8213497204405784,0.31760144864265993,0.5766379550408589,0.6881424006874571,-0.006927949326999185,0.16803392438575757,-0.002356445349319475,0.09572521439422624,1.2554882247769756,0.5064300865249666
full,gtsrb,resnet18,8,0.05,3,0.16363156505674326,0.21426490889200472,0.0006893130815551393,0.0011939252795753702,0.0,0.0,-0.012701240432831884,0.02658581077030809,-0.024130000377031263,0.03480133927403961,-0.023440687295476586,0.03555165176666807
full,gtsrb,vgg11,4,0.01,3,-0.10820797044074719,0.21042701784404735,-0.12573377391332427,0.1174943906458137,-0.01076128562206525,0.019991931413863386,-0.06268144629189747,0.5528329691160893,0.013855898653998425,0.1212030879198209,-0.18841522020522175,0.6074343192447338
full,gtsrb,vgg11,4,0.05,3,0.21377672209026052,0.13319559652621568,-0.0013683634373299707,0.0023700749966751003,-0.005473453749315818,0.009480299986693363,0.031010820797044075,0.05603292094368475,0.06532066508313539,0.06914111026892622,0.0625227248005548,0.0651931767587881
full,gtsrb,vgg11,8,0.01,3,-0.15571390868303428,0.6883505598176297,1.6304745513072705,1.9490189157781008,0.3468285170129462,2.0873685093359313,-0.5619886513591977,0.5697484244861928,-0.33796139199939673,0.44310323905330584,1.6944487922718448,3.2942808643593424
full,gtsrb,vgg11,8,0.05,3,0.11876484560569371,0.2753022747539787,0.016251588275998746,0.03082777847434764,0.0002400637609349029,0.02864889179850389,0.015835312747426764,0.0034639746634995954,-0.009520039211250613,0.039300507019397225,0.006731549064749783,0.03161381635524415
naive_dual,cifar10,resnet18,4,0.01,3,-0.11333333333332825,0.4858326186387001,-0.06296296296296096,0.07105538904796495,-0.029629629629629627,0.0611952283031789,48.11083333333334,3.9011016739933004,87.08666666666666,0.6781608093463694,87.0237037037037,0.6175140782454126
naive_dual,cifar10,resnet18,4,0.05,3,0.31999999999999806,0.12165525060596012,-0.0009259259259208896,0.009755234956347392,0.003703703703703704,0.012830005981991684,46.08416666666667,0.788598770499509,88.36555555555556,0.12580113642541652,88.36462962962965,0.1166327111080422
naive_dual,cifar10,resnet18,8,0.01,3,-0.013333333333331865,0.28884828774519633,-0.2791666666666674,0.08688052318353216,-0.4185185185185185,0.016972502573910482,44.13375,0.23938642270395952,85.09017857142857,0.3276534634210944,84.81101190476191,0.36460868284619574
naive_dual,cifar10,resnet18,8,0.05,3,0.2266666666666676,0.17009801096230567,0.021296296296298884,0.012904962837749518,0.07037037037037037,0.04206598774666869,46.55333333333334,1.461057693362359,85.55994047619049,1.935323862950807,85.58123677248678,1.9326274460138186
naive_dual,cifar10,vgg11,4,0.01,3,-0.2766666666666658,0.29005746557076806,-0.6833333333333247,0.3262795325075356,-0.29629629629629634,0.23315689978573545,47.59375,0.6350775051125573,83.83361111111111,0.46249199192265333,83.15027777777779,0.7874732505745041
naive_dual,cifar10,vgg11,4,0.05,3,-0.02666666666667113,0.35809682117178177,-0.027777777777778418,0.02678791878053131,-1.734723475976807e-18,0.02939723678960656,48.07833333333334,0.9046790982626547,86.70527777777778,0.24596794807755185,86.67750000000001,0.2468416233884431
