method,dataset,model,kc,poison_rate,n,clean_acc_mean_pct,clean_acc_std_pct,valid_asr_mean_pct,valid_asr_std_pct,wrong_asr_mean_pct,wrong_asr_std_pct,single_leak_mean_pct,single_leak_std_pct,invalid_leak_mean_pct,invalid_leak_std_pct,csg_mean_pct,csg_std_pct
adaptive_feedback_tuned_v2,cifar10,resnet18,4,0.01,3,94.07666666666668,0.23007245235650114,99.86666666666667,0.07222222222222395,0.1111111111111111,0.029397236789606564,1.79375,0.5393268373630224,2.295555555555555,0.1890369109557805,97.57111111111114,0.11776107061795074
adaptive_feedback_tuned_v2,cifar10,resnet18,4,0.05,3,94.19000000000001,0.07549834435270505,99.99166666666667,0.0027777777777793222,0.007407407407407408,0.006415002990995842,1.0120833333333334,0.14405583408294623,1.539166666666667,0.19636275953788523,98.4525,0.19360453519838433
adaptive_feedback_tuned_v2,cifar10,resnet18,8,0.01,3,93.88000000000001,0.24556058315617427,99.63379629629631,0.08138146218170302,0.6111111111111112,0.029397236789606564,3.024375,0.11962343259161232,4.68297619047619,0.3189980694021719,94.95082010582011,0.3394402474201036
adaptive_feedback_tuned_v2,cifar10,resnet18,8,0.05,3,93.94333333333334,0.09609023536933088,99.98842592592592,0.0008018753738829384,0.025925925925925925,0.0064150029909958405,2.0185416666666667,0.042542870534712625,3.1395238095238094,0.017736497211494135,96.84890211640213,0.01736383576502256
adaptive_feedback_tuned_v2,cifar10,vgg11,4,0.01,3,90.41666666666669,0.18339392937971752,98.9925925925926,0.3113135915172627,0.5962962962962962,0.21782690300048316,3.887916666666666,0.13904997602780567,5.165277777777778,0.2284037806977745,93.82731481481483,0.44855171032031116
adaptive_feedback_tuned_v2,cifar10,vgg11,4,0.05,3,90.73333333333333,0.3763420430052101,99.92962962962963,0.009755234956342122,0.04444444444444445,0.011111111111111112,2.3608333333333333,0.09517527690179502,3.142777777777778,0.14147372482130685,96.78685185185185,0.1421574650026076
adaptive_feedback_tuned_v2,cifar10,vgg11,8,0.01,3,90.47666666666666,0.14640127503998582,98.22824074074074,0.37596668954322154,2.5444444444444447,0.7446931591162684,8.336875,0.21306634090113857,12.541488095238096,0.6314352711883308,85.68675264550265,0.3502405328627805
adaptive_feedback_tuned_v2,cifar10,vgg11,8,0.05,3,90.34,0.35383612025908256,99.88935185185186,0.036676485778396314,0.23333333333333336,0.09493337494797258,4.474583333333334,0.14807664470919576,6.715833333333333,0.1826652464534646,93.17351851851852,0.1471778752964601
adaptive_feedback_tuned_v2,cifar100,resnet18,4,0.01,3,75.19,0.4044749683231311,98.78030303030303,0.184378023598707,0.0202020202020202,0.0101010101010101,1.5670833333333332,0.1961836405853794,1.0963888888888889,0.09430054396763883,97.21321969696969,0.3501879995164878
adaptive_feedback_tuned_v2,cifar100,resnet18,4,0.05,3,75.19666666666667,0.3852704677669071,99.93518518518519,0.020411373153167118,0.0,0.0,0.4608333333333333,0.033126965350501594,0.5130555555555556,0.046505176932052215,99.42212962962964,0.027076104887997072
