method,source,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg
full,hard_ablation_288,cifar10,resnet18,4,0.01,0,0.9378,0.9978055555555555,0.0015555555555555555,0.0211875,0.022075,0.9757305555555555
full,hard_ablation_288,cifar10,resnet18,4,0.01,1,0.9383,0.9993333333333334,0.0006666666666666666,0.0190875,0.0239,0.9754333333333334
full,hard_ablation_288,cifar10,resnet18,4,0.01,2,0.9382,0.9985833333333334,0.0012222222222222222,0.01805,0.021533333333333335,0.9770500000000001
naive_dual,hard_ablation_288,cifar10,resnet18,4,0.01,0,0.944,0.9997222222222223,0.00044444444444444447,0.4694625,0.89935,0.10037222222222231
naive_dual,hard_ablation_288,cifar10,resnet18,4,0.01,1,0.9427,0.999638888888889,0.00044444444444444447,0.550075,0.8887916666666666,0.11084722222222232
naive_dual,hard_ablation_288,cifar10,resnet18,4,0.01,2,0.939,0.9985277777777777,0.0015555555555555555,0.4776,0.893325,0.10520277777777765
single,hard_ablation_288,cifar10,resnet18,4,0.01,0,0.9385,1.0,0.0,0.8987625,0.8842166666666667,0.10123749999999998
single,hard_ablation_288,cifar10,resnet18,4,0.01,1,0.9395,1.0,0.0,0.8990875,0.873075,0.10091249999999996
single,hard_ablation_288,cifar10,resnet18,4,0.01,2,0.9389,1.0,0.0,0.8990125,0.874925,0.10098750000000001
wo_invalid,hard_ablation_288,cifar10,resnet18,4,0.01,0,0.9408,0.9975277777777778,0.0025555555555555557,0.0174375,0.17459166666666667,0.8229361111111111
wo_invalid,hard_ablation_288,cifar10,resnet18,4,0.01,1,0.9392,0.9969444444444444,0.0014444444444444444,0.020725,0.18975,0.8071944444444444
wo_invalid,hard_ablation_288,cifar10,resnet18,4,0.01,2,0.9395,0.9979444444444445,0.0024444444444444444,0.021725,0.23358333333333334,0.7643611111111112
full,hard_ablation_288,cifar10,resnet18,4,0.05,0,0.9406,1.0,0.0,0.011375,0.016158333333333334,0.9838416666666666
full,hard_ablation_288,cifar10,resnet18,4,0.05,1,0.9406,0.9999444444444445,0.0,0.0120125,0.016808333333333335,0.9831361111111112
full,hard_ablation_288,cifar10,resnet18,4,0.05,2,0.9397,1.0,0.0,0.0097875,0.014825,0.985175
naive_dual,hard_ablation_288,cifar10,resnet18,4,0.05,0,0.9381,0.9999444444444445,0.00011111111111111112,0.4646375,0.9005416666666667,0.09940277777777784
naive_dual,hard_ablation_288,cifar10,resnet18,4,0.05,1,0.9392,0.9998333333333332,0.00022222222222222223,0.470425,0.897925,0.10190833333333327
naive_dual,hard_ablation_288,cifar10,resnet18,4,0.05,2,0.9388,1.0,0.0,0.477825,0.898675,0.101325
single,hard_ablation_288,cifar10,resnet18,4,0.05,0,0.9378,1.0,0.0,0.8998375,0.9402,0.059799999999999964
single,hard_ablation_288,cifar10,resnet18,4,0.05,1,0.943,1.0,0.0,0.9009625,0.9215166666666667,0.07848333333333335
single,hard_ablation_288,cifar10,resnet18,4,0.05,2,0.9432,1.0,0.0,0.900375,0.9257583333333333,0.07424166666666665
wo_invalid,hard_ablation_288,cifar10,resnet18,4,0.05,0,0.9411,0.9998333333333334,0.00011111111111111112,0.011,0.311,0.6888333333333334
wo_invalid,hard_ablation_288,cifar10,resnet18,4,0.05,1,0.9405,0.9999722222222223,0.0,0.0117875,0.2927666666666667,0.7072055555555556
