====================================================================================================
EXISTING BASELINES VS ADAPTIVE SUMMARY
====================================================================================================
Total rows used: 360

Grouped method counts:
adaptive_feedback_tuned_v2: 72
full: 72
naive_dual: 72
single: 72
wo_invalid: 72

====================================================================================================
GROUPED MEAN ± STD
====================================================================================================
adaptive_feedback_tuned_v2   | cifar10   | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=94.077±0.230 | valid=99.867±0.072 | wrong=0.111±0.029 | single=1.794±0.539 | invalid=2.296±0.189 | csg=97.571±0.118
adaptive_feedback_tuned_v2   | cifar10   | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=94.190±0.075 | valid=99.992±0.003 | wrong=0.007±0.006 | single=1.012±0.144 | invalid=1.539±0.196 | csg=98.453±0.194
adaptive_feedback_tuned_v2   | cifar10   | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=93.880±0.246 | valid=99.634±0.081 | wrong=0.611±0.029 | single=3.024±0.120 | invalid=4.683±0.319 | csg=94.951±0.339
adaptive_feedback_tuned_v2   | cifar10   | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=93.943±0.096 | valid=99.988±0.001 | wrong=0.026±0.006 | single=2.019±0.043 | invalid=3.140±0.018 | csg=96.849±0.017
adaptive_feedback_tuned_v2   | cifar10   | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=90.417±0.183 | valid=98.993±0.311 | wrong=0.596±0.218 | single=3.888±0.139 | invalid=5.165±0.228 | csg=93.827±0.449
adaptive_feedback_tuned_v2   | cifar10   | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=90.733±0.376 | valid=99.930±0.010 | wrong=0.044±0.011 | single=2.361±0.095 | invalid=3.143±0.141 | csg=96.787±0.142
adaptive_feedback_tuned_v2   | cifar10   | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=90.477±0.146 | valid=98.228±0.376 | wrong=2.544±0.745 | single=8.337±0.213 | invalid=12.541±0.631 | csg=85.687±0.350
adaptive_feedback_tuned_v2   | cifar10   | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=90.340±0.354 | valid=99.889±0.037 | wrong=0.233±0.095 | single=4.475±0.148 | invalid=6.716±0.183 | csg=93.174±0.147
adaptive_feedback_tuned_v2   | cifar100  | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=75.190±0.404 | valid=98.780±0.184 | wrong=0.020±0.010 | single=1.567±0.196 | invalid=1.096±0.094 | csg=97.213±0.350
adaptive_feedback_tuned_v2   | cifar100  | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=75.197±0.385 | valid=99.935±0.020 | wrong=0.000±0.000 | single=0.461±0.033 | invalid=0.513±0.047 | csg=99.422±0.027
adaptive_feedback_tuned_v2   | cifar100  | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=75.273±0.331 | valid=97.810±0.220 | wrong=0.296±0.137 | single=2.058±0.517 | invalid=1.715±0.549 | csg=95.752±0.501
adaptive_feedback_tuned_v2   | cifar100  | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=75.103±0.206 | valid=99.870±0.012 | wrong=0.020±0.000 | single=0.840±0.076 | invalid=1.145±0.102 | csg=98.724±0.110
adaptive_feedback_tuned_v2   | cifar100  | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=67.443±0.133 | valid=98.976±0.298 | wrong=0.067±0.057 | single=1.470±0.220 | invalid=1.133±0.252 | csg=97.506±0.468
adaptive_feedback_tuned_v2   | cifar100  | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=67.317±0.137 | valid=99.892±0.066 | wrong=0.000±0.000 | single=0.670±0.050 | invalid=0.723±0.068 | csg=99.167±0.007
adaptive_feedback_tuned_v2   | cifar100  | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=67.740±0.325 | valid=97.832±0.738 | wrong=0.354±0.070 | single=3.427±0.794 | invalid=2.834±0.746 | csg=94.406±1.525
adaptive_feedback_tuned_v2   | cifar100  | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=67.113±0.190 | valid=99.772±0.027 | wrong=0.040±0.017 | single=1.387±0.257 | invalid=1.811±0.328 | csg=97.962±0.303
adaptive_feedback_tuned_v2   | gtsrb     | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=98.414±0.234 | valid=99.970±0.031 | wrong=0.020±0.021 | single=0.455±0.085 | invalid=0.135±0.034 | csg=99.515±0.060
adaptive_feedback_tuned_v2   | gtsrb     | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=98.733±0.096 | valid=99.999±0.002 | wrong=0.000±0.000 | single=0.029±0.010 | invalid=0.028±0.011 | csg=99.969±0.012
adaptive_feedback_tuned_v2   | gtsrb     | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=98.395±0.207 | valid=98.934±0.080 | wrong=0.317±0.413 | single=0.485±0.140 | invalid=0.332±0.095 | csg=98.388±0.176
adaptive_feedback_tuned_v2   | gtsrb     | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=98.741±0.145 | valid=100.000±0.000 | wrong=0.000±0.000 | single=0.078±0.020 | invalid=0.107±0.026 | csg=99.893±0.026
adaptive_feedback_tuned_v2   | gtsrb     | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=96.854±0.314 | valid=99.193±0.253 | wrong=0.067±0.061 | single=1.189±0.337 | invalid=0.416±0.089 | csg=98.004±0.493
adaptive_feedback_tuned_v2   | gtsrb     | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=97.126±0.073 | valid=99.999±0.002 | wrong=0.005±0.009 | single=0.153±0.052 | invalid=0.193±0.055 | csg=99.805±0.053
adaptive_feedback_tuned_v2   | gtsrb     | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=96.841±0.624 | valid=94.976±1.260 | wrong=1.519±0.474 | single=2.816±0.438 | invalid=2.585±0.515 | csg=92.103±1.523
adaptive_feedback_tuned_v2   | gtsrb     | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=97.398±0.199 | valid=99.970±0.012 | wrong=0.025±0.014 | single=0.323±0.044 | invalid=0.467±0.056 | csg=99.503±0.063
full                         | cifar10   | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=93.810±0.026 | valid=99.857±0.076 | wrong=0.115±0.045 | single=1.944±0.160 | invalid=2.250±0.124 | csg=97.607±0.086
full                         | cifar10   | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=94.030±0.052 | valid=99.998±0.003 | wrong=0.000±0.000 | single=1.106±0.115 | invalid=1.593±0.101 | csg=98.405±0.104
full                         | cifar10   | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=93.970±0.105 | valid=99.416±0.199 | wrong=0.930±0.141 | single=3.391±0.210 | invalid=4.980±0.360 | csg=94.435±0.384
full                         | cifar10   | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=94.053±0.100 | valid=99.987±0.006 | wrong=0.030±0.017 | single=2.081±0.189 | invalid=3.189±0.294 | csg=96.797±0.299
full                         | cifar10   | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=90.473±0.127 | valid=98.429±0.456 | wrong=0.867±0.436 | single=4.032±0.403 | invalid=5.189±0.508 | csg=93.240±0.475
full                         | cifar10   | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=90.613±0.278 | valid=99.890±0.043 | wrong=0.100±0.033 | single=2.423±0.097 | invalid=3.046±0.093 | csg=96.844±0.075
full                         | cifar10   | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=90.800±0.210 | valid=97.658±0.599 | wrong=3.344±0.646 | single=8.754±0.423 | invalid=12.825±0.033 | csg=84.833±0.624
full                         | cifar10   | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=90.480±0.180 | valid=99.894±0.027 | wrong=0.152±0.045 | single=4.728±0.116 | invalid=7.211±0.306 | csg=92.683±0.321
full                         | cifar100  | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=76.073±0.227 | valid=99.197±0.170 | wrong=0.040±0.027 | single=1.149±0.305 | invalid=0.673±0.120 | csg=98.048±0.249
full                         | cifar100  | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=76.293±0.081 | valid=99.934±0.028 | wrong=0.003±0.006 | single=0.417±0.022 | invalid=0.456±0.024 | csg=99.478±0.027
full                         | cifar100  | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=76.543±0.136 | valid=98.025±0.422 | wrong=0.296±0.102 | single=2.172±0.051 | invalid=1.685±0.257 | csg=95.853±0.390
full                         | cifar100  | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=76.150±0.089 | valid=99.867±0.059 | wrong=0.034±0.006 | single=0.854±0.157 | invalid=1.071±0.177 | csg=98.795±0.158
