dataset,model,seed,epochs,batch_size,num_workers,lr,status,log_path,summary_path,start_time,end_time
cifar10,resnet18,0,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed0_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed0_e40/summary.json,2026-06-18 14:42:40,2026-06-18 14:45:33
cifar10,resnet18,1,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed1_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed1_e40/summary.json,2026-06-18 14:45:33,2026-06-18 14:48:19
cifar10,resnet18,2,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed2_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed2_e40/summary.json,2026-06-18 14:48:19,2026-06-18 14:51:02
cifar10,vgg11,0,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed0_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed0_e40/summary.json,2026-06-18 14:51:02,2026-06-18 14:52:26
cifar10,vgg11,1,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed1_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed1_e40/summary.json,2026-06-18 14:52:26,2026-06-18 14:53:51
cifar10,vgg11,2,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed2_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed2_e40/summary.json,2026-06-18 14:53:51,2026-06-18 14:55:16
cifar100,resnet18,0,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed0_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed0_e40/summary.json,2026-06-18 14:55:16,2026-06-18 14:58:03
cifar100,resnet18,1,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed1_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed1_e40/summary.json,2026-06-18 14:58:03,2026-06-18 15:00:50
cifar100,resnet18,2,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed2_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed2_e40/summary.json,2026-06-18 15:00:50,2026-06-18 15:03:39
cifar100,vgg11,0,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed0_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed0_e40/summary.json,2026-06-18 15:03:39,2026-06-18 15:05:03
cifar100,vgg11,1,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed1_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed1_e40/summary.json,2026-06-18 15:05:03,2026-06-18 15:06:31
cifar100,vgg11,2,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed2_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed2_e40/summary.json,2026-06-18 15:06:31,2026-06-18 15:07:57
gtsrb,resnet18,0,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed0_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed0_e40/summary.json,2026-06-18 15:07:57,2026-06-18 15:09:33
gtsrb,resnet18,1,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed1_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed1_e40/summary.json,2026-06-18 15:09:33,2026-06-18 15:11:09
gtsrb,resnet18,2,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed2_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed2_e40/summary.json,2026-06-18 15:11:09,2026-06-18 15:12:46
gtsrb,vgg11,0,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed0_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed0_e40/summary.json,2026-06-18 15:12:46,2026-06-18 15:14:12
gtsrb,vgg11,1,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed1_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed1_e40/summary.json,2026-06-18 15:14:12,2026-06-18 15:15:36
gtsrb,vgg11,2,40,128,4,0.01,DONE,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed2_e40.out,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed2_e40/summary.json,2026-06-18 15:15:36,2026-06-18 15:17:01
