run_name,dataset,model,kc,seed,category,pair_id,p1,p2,seen_config_id,prediction_change_rate,raw_target_rate,target_leakage_rate,worst_target,worst_target_changed_rate
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_01,y26_x2,y10_x10,,0.1517,0.0413,0.0066,3,0.0025
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_02,y18_x2,y18_x10,,0.1583,0.0443,0.0107,2,0.0061
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_03,y26_x2,y10_x18,,0.1295,0.0383,0.0046,1,0.0017
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_04,y18_x2,y18_x18,,0.1502,0.0431,0.0089,2,0.0065
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_05,y26_x26,y18_x18,,0.1326,0.0419,0.0069,2,0.0036
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_06,y26_x26,y18_x10,,0.1379,0.0417,0.0071,2,0.0027
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_07,y26_x2,y18_x18,,0.1324,0.0397,0.005,3,0.0016
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_08,y26_x26,y10_x10,,0.1508,0.0394,0.0066,2,0.0022
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_09,y18_x2,y10_x18,,0.1626,0.0418,0.0087,2,0.0051
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_10,y18_x2,y10_x10,,0.1836,0.0621,0.0278,3,0.0221
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_11,y26_x2,y18_x10,,0.1403,0.0395,0.005,3,0.0019
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_12,y26_x26,y10_x18,,0.144,0.0408,0.0071,2,0.0035
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_01,y10_x10,y2_x26,,0.1639,0.0399,0.0067,2,0.0036
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_02,y18_x10,y2_x2,,0.1682,0.0404,0.0073,2,0.0042
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_03,y18_x18,y10_x26,,0.1532,0.0508,0.0153,3,0.0105
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_04,y10_x10,y10_x26,,0.1701,0.0425,0.0099,2,0.006
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_05,y18_x18,y2_x2,,0.1539,0.0384,0.0047,2,0.0016
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_06,y18_x10,y10_x26,,0.1653,0.0423,0.0091,2,0.0054
