run_name,dataset,model,kc,seed,test_size,num_pairs,clean_target_prediction_rate,pooled_target_leakage_rate,mean_pair_target_leakage,p95_pair_target_leakage,max_pair_target_leakage,pooled_prediction_change_rate,pooled_raw_target_rate,worst_target_changed_rate,elapsed_seconds
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,10000,36,0.0395,0.009408333333333333,0.009408333333333333,0.018525,0.0278,0.16517777777777778,0.04278055555555556,0.0037555555555555554,25.626360177993774
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,4,1,10000,36,0.0388,0.007219444444444444,0.007219444444444444,0.01115,0.0127,0.16890555555555556,0.03939722222222222,0.002811111111111111,13.388264894485474
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,4,2,10000,36,0.0369,0.009555555555555555,0.009555555555555555,0.01965,0.0237,0.18085,0.04051388888888889,0.004458333333333333,13.067513227462769
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,8,0,10000,36,0.0805,0.012013888888888888,0.012013888888888888,0.0148,0.0168,0.14864444444444444,0.07939444444444445,0.0028583333333333334,13.660857439041138
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,8,1,10000,36,0.0793,0.012102777777777778,0.012102777777777778,0.0165,0.0181,0.15629722222222223,0.07817222222222223,0.002536111111111111,13.74651837348938
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,8,2,10000,36,0.08,0.014975,0.014975,0.02015,0.0212,0.1552361111111111,0.08135555555555556,0.0030611111111111112,13.560267925262451
cifar100_vgg11_full_dyn_pr0.05_kc4_seed0,cifar100,vgg11,4,0,10000,36,0.0372,0.02256111111111111,0.02256111111111111,0.035725,0.0723,0.3788388888888889,0.04763888888888889,0.009711111111111111,15.364694833755493
cifar100_vgg11_full_dyn_pr0.05_kc4_seed1,cifar100,vgg11,4,1,10000,36,0.0383,0.012941666666666667,0.012941666666666667,0.01865,0.0223,0.37828055555555556,0.038497222222222224,0.004925,10.729448795318604
cifar100_vgg11_full_dyn_pr0.05_kc4_seed2,cifar100,vgg11,4,2,10000,36,0.0369,0.03245555555555556,0.03245555555555556,0.053325,0.2187,0.43988333333333335,0.05675277777777778,0.014180555555555556,10.541093111038208
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,8,0,10000,36,0.0787,0.050758333333333336,0.050758333333333336,0.103125,0.1734,0.4024861111111111,0.09931388888888888,0.015719444444444446,10.841712951660156
cifar100_vgg11_full_dyn_pr0.05_kc8_seed1,cifar100,vgg11,8,1,10000,36,0.0807,0.03843055555555556,0.03843055555555556,0.07495,0.1229,0.3692,0.08820555555555555,0.012347222222222223,10.609005689620972
cifar100_vgg11_full_dyn_pr0.05_kc8_seed2,cifar100,vgg11,8,2,10000,36,0.0798,0.05704722222222222,0.05704722222222222,0.1199,0.1322,0.37821666666666665,0.10784444444444445,0.028041666666666666,10.802680015563965
cifar10_resnet18_full_dyn_pr0.05_kc4_seed0,cifar10,resnet18,4,0,10000,36,0.4018,0.04719444444444444,0.04719444444444444,0.11372499999999999,0.1418,0.07506944444444444,0.41215833333333335,0.016444444444444446,13.368045568466187
cifar10_resnet18_full_dyn_pr0.05_kc4_seed1,cifar10,resnet18,4,1,10000,36,0.3979,0.03336111111111111,0.03336111111111111,0.05105,0.0618,0.06205,0.40103055555555556,0.016880555555555555,13.138571500778198
cifar10_resnet18_full_dyn_pr0.05_kc4_seed2,cifar10,resnet18,4,2,10000,36,0.3999,0.03259444444444445,0.03259444444444445,0.061375,0.0741,0.05887777777777778,0.40353055555555556,0.011880555555555556,13.065311431884766
cifar10_resnet18_full_dyn_pr0.05_kc8_seed0,cifar10,resnet18,8,0,10000,36,0.8019,0.03949444444444444,0.03949444444444444,0.050800000000000005,0.0537,0.04326111111111111,0.8029111111111111,0.01011111111111111,14.367952823638916
cifar10_resnet18_full_dyn_pr0.05_kc8_seed1,cifar10,resnet18,8,1,10000,36,0.8001,0.04784722222222222,0.04784722222222222,0.07185,0.0733,0.05373888888888889,0.7994055555555556,0.013794444444444444,13.606504917144775
cifar10_resnet18_full_dyn_pr0.05_kc8_seed2,cifar10,resnet18,8,2,10000,36,0.8001,0.05081111111111111,0.05081111111111111,0.075325,0.0836,0.055675,0.8013,0.012808333333333333,13.359252214431763
cifar10_vgg11_full_dyn_pr0.05_kc4_seed0,cifar10,vgg11,4,0,10000,36,0.4019,0.10293611111111112,0.10293611111111112,0.246975,0.2565,0.1821,0.4159638888888889,0.07365833333333334,10.802684783935547
cifar10_vgg11_full_dyn_pr0.05_kc4_seed1,cifar10,vgg11,4,1,10000,36,0.4054,0.14073333333333332,0.14073333333333332,0.28275,0.3021,0.22585,0.45132777777777777,0.11238055555555555,10.706629753112793
cifar10_vgg11_full_dyn_pr0.05_kc4_seed2,cifar10,vgg11,4,2,10000,36,0.4005,0.09235,0.09235,0.180675,0.1836,0.15855555555555556,0.42405,0.04407222222222222,10.721002578735352
cifar10_vgg11_full_dyn_pr0.05_kc8_seed0,cifar10,vgg11,8,0,10000,36,0.7985,0.13459166666666667,0.13459166666666667,0.237225,0.2549,0.149325,0.8020388888888889,0.048841666666666665,10.69990873336792
cifar10_vgg11_full_dyn_pr0.05_kc8_seed1,cifar10,vgg11,8,1,10000,36,0.8002,0.18322777777777777,0.18322777777777777,0.334125,0.3455,0.19444166666666668,0.8101361111111111,0.08963055555555556,10.768777132034302
cifar10_vgg11_full_dyn_pr0.05_kc8_seed2,cifar10,vgg11,8,2,10000,36,0.7979,0.1592861111111111,0.1592861111111111,0.28752500000000003,0.3861,0.17090833333333333,0.8067,0.07287777777777778,10.975223302841187
gtsrb_resnet18_full_dyn_pr0.05_kc4_seed0,gtsrb,resnet18,4,0,12630,36,0.156215360253365,0.011610363332453594,0.011610363332453593,0.026563737133808392,0.030958036421219318,0.06982273247118853,0.1574140054543855,0.0062461511392627785,26.893697261810303
gtsrb_resnet18_full_dyn_pr0.05_kc4_seed1,gtsrb,resnet18,4,1,12630,36,0.1564528899445764,0.020654086390428435,0.020654086390428435,0.07199129057798892,0.09144893111638955,0.08131653030702912,0.17040995865223893,0.008163983460895575,20.31715726852417
gtsrb_resnet18_full_dyn_pr0.05_kc4_seed2,gtsrb,resnet18,4,2,12630,36,0.1583531274742676,0.070227412685845,0.070227412685845,0.21828978622327794,0.669279493269992,0.10507169877716196,0.21510952757983637,0.03811031934547374,20.340786457061768
gtsrb_resnet18_full_dyn_pr0.05_kc8_seed0,gtsrb,resnet18,8,0,12630,36,0.3057007125890736,0.0074931820181226355,0.007493182018122636,0.03543151227236738,0.06397466349960412,0.060405120084455,0.28702604029207357,0.0036927069587402127,20.30798888206482
gtsrb_resnet18_full_dyn_pr0.05_kc8_seed1,gtsrb,resnet18,8,1,12630,36,0.30665083135391924,0.007013723937714437,0.007013723937714436,0.02729612034837688,0.04489311163895487,0.07768980381806985,0.28057095099850443,0.002997712677047594,20.629859924316406
gtsrb_resnet18_full_dyn_pr0.05_kc8_seed2,gtsrb,resnet18,8,2,12630,36,0.30625494853523355,0.01397026480161872,0.01397026480161872,0.08610451306413301,0.10190023752969121,0.05293833025424474,0.29890912289962174,0.008155186064924783,20.271039485931396
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed0,gtsrb,vgg11,4,0,12630,36,0.15724465558194775,0.029794580804081993,0.029794580804081993,0.09837688044338876,0.2467933491686461,0.20008577461071522,0.15451306413301663,0.01486979853963227,22.530837059020996
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,12630,36,0.15993665874901028,0.024489751033694027,0.024489751033694027,0.07697941409342834,0.2657957244655582,0.20845869622591712,0.14481393507521773,0.012441717251693499,20.38044238090515
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,12630,36,0.1564528899445764,0.02145904812175596,0.02145904812175596,0.10556215360253365,0.22406967537608868,0.22350004398697984,0.1359043723057975,0.010308348728776283,20.028494834899902
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,12630,36,0.306492478226445,0.06591888800914929,0.06591888800914929,0.2939627870150435,0.5243863816310372,0.2447193630685317,0.2928191255388405,0.017555203659716724,19.92829704284668
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed1,gtsrb,vgg11,8,1,12630,36,0.3053840063341251,0.07627122371777954,0.07627122371777954,0.4139152810768013,0.5500395882818686,0.23021905515967273,0.3062197589513504,0.03197633500483857,19.925190210342407
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed2,gtsrb,vgg11,8,2,12630,36,0.3061757719714964,0.07331529867159321,0.07331529867159321,0.34228028503562946,0.4220902612826603,0.23547989795020674,0.2996151139262778,0.022156241752441276,20.378193855285645
