dataset,model,kc,poison_rate,method,n,clean_acc,clean_acc_ci95,valid_asr,valid_asr_ci95,wrong_asr,wrong_asr_ci95,single_leak,single_leak_ci95,invalid_leak,invalid_leak_ci95,csg,csg_ci95
cifar10,resnet18,4,0.01,full,3,93.810 ± 0.026,±0.066,99.857 ± 0.076,±0.190,0.115 ± 0.045,±0.112,1.944 ± 0.160,±0.397,2.250 ± 0.124,±0.308,97.607 ± 0.086,±0.214
cifar10,resnet18,4,0.01,naive_dual,3,94.190 ± 0.259,±0.644,99.930 ± 0.067,±0.166,0.081 ± 0.064,±0.159,49.905 ± 4.438,±11.024,89.382 ± 0.530,±1.316,10.547 ± 0.524,±1.302
cifar10,resnet18,4,0.01,single,3,93.897 ± 0.050,±0.125,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,89.895 ± 0.017,±0.042,87.741 ± 0.597,±1.483,10.105 ± 0.017,±0.042
cifar10,resnet18,4,0.01,wo_invalid,3,93.983 ± 0.085,±0.211,99.747 ± 0.050,±0.125,0.215 ± 0.061,±0.152,1.996 ± 0.224,±0.557,19.931 ± 3.064,±7.610,79.816 ± 3.031,±7.530
cifar10,resnet18,4,0.05,full,3,94.030 ± 0.052,±0.129,99.998 ± 0.003,±0.008,0.000 ± 0.000,±0.000,1.106 ± 0.115,±0.285,1.593 ± 0.101,±0.251,98.405 ± 0.104,±0.257
cifar10,resnet18,4,0.05,naive_dual,3,93.870 ± 0.056,±0.138,99.993 ± 0.008,±0.021,0.011 ± 0.011,±0.028,47.096 ± 0.661,±1.642,89.905 ± 0.135,±0.335,10.088 ± 0.131,±0.326
cifar10,resnet18,4,0.05,single,3,94.133 ± 0.306,±0.761,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,90.039 ± 0.056,±0.140,92.916 ± 0.979,±2.433,7.084 ± 0.979,±2.433
cifar10,resnet18,4,0.05,wo_invalid,3,94.047 ± 0.065,±0.162,99.989 ± 0.007,±0.018,0.011 ± 0.011,±0.028,1.170 ± 0.067,±0.166,20.841 ± 16.216,±40.284,79.148 ± 16.214,±40.279
cifar10,resnet18,8,0.01,full,3,93.970 ± 0.105,±0.262,99.416 ± 0.199,±0.494,0.930 ± 0.141,±0.349,3.391 ± 0.210,±0.522,4.980 ± 0.360,±0.894,94.435 ± 0.384,±0.953
cifar10,resnet18,8,0.01,naive_dual,3,93.893 ± 0.085,±0.211,99.913 ± 0.027,±0.066,0.193 ± 0.045,±0.112,47.158 ± 0.122,±0.302,89.773 ± 0.040,±0.099,10.140 ± 0.053,±0.131
cifar10,resnet18,8,0.01,single,3,94.300 ± 0.095,±0.237,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,89.840 ± 0.034,±0.085,86.637 ± 0.359,±0.891,10.160 ± 0.034,±0.085
cifar10,resnet18,8,0.01,wo_invalid,3,93.630 ± 0.298,±0.741,99.297 ± 0.351,±0.872,1.270 ± 0.652,±1.620,5.256 ± 0.356,±0.884,28.027 ± 3.373,±8.379,71.270 ± 3.036,±7.541
cifar10,resnet18,8,0.05,full,3,94.053 ± 0.100,±0.249,99.987 ± 0.006,±0.014,0.030 ± 0.017,±0.042,2.081 ± 0.189,±0.470,3.189 ± 0.294,±0.730,96.797 ± 0.299,±0.744
