run_name,dataset,model,method,kc,poison_rate,seed,summary_path,checkpoint_path,checkpoint_mb,elapsed_seconds,leakage_metric_version,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
cifar10_resnet18_full_dyn_pr0.01_kc4_seed0,cifar10,resnet18,full,4,0.01,0,./results/cifar10_resnet18_full_dyn_pr0.01_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_full_dyn_pr0.01_kc4_seed0/last.pt,42.69666576385498,362.9593918323517,2,0.9378,0.9978055555555555,0.0015555555555555555,0.0211875,0.022075,0.9757305555555555,0.9982222222222222,0.9991111111111111,0.9973333333333333,0.9965555555555555,,,,
cifar10_resnet18_full_dyn_pr0.01_kc4_seed1,cifar10,resnet18,full,4,0.01,1,./results/cifar10_resnet18_full_dyn_pr0.01_kc4_seed1/summary.json,./checkpoints/cifar10_resnet18_full_dyn_pr0.01_kc4_seed1/last.pt,42.69666576385498,364.3146936893463,2,0.9383,0.9993333333333334,0.0006666666666666666,0.0190875,0.0239,0.9754333333333334,0.9998888888888889,0.9992222222222222,0.999,0.9992222222222222,,,,
cifar10_resnet18_full_dyn_pr0.01_kc4_seed2,cifar10,resnet18,full,4,0.01,2,./results/cifar10_resnet18_full_dyn_pr0.01_kc4_seed2/summary.json,./checkpoints/cifar10_resnet18_full_dyn_pr0.01_kc4_seed2/last.pt,42.69666576385498,368.52226734161377,2,0.9382,0.9985833333333334,0.0012222222222222222,0.01805,0.021533333333333335,0.9770500000000001,0.9991111111111111,0.9982222222222222,0.9983333333333333,0.9986666666666667,,,,
cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed0,cifar10,resnet18,naive_dual,4,0.01,0,./results/cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed0/last.pt,42.69672679901123,378.1575539112091,2,0.944,0.9997222222222223,0.00044444444444444447,0.4694625,0.89935,0.10037222222222231,0.9993333333333333,0.9998888888888889,0.9997777777777778,0.9998888888888889,,,,
cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed1,cifar10,resnet18,naive_dual,4,0.01,1,./results/cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed1/summary.json,./checkpoints/cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed1/last.pt,42.69672679901123,364.79688906669617,2,0.9427,0.999638888888889,0.00044444444444444447,0.550075,0.8887916666666666,0.11084722222222232,0.9996666666666667,0.9998888888888889,0.9994444444444445,0.9995555555555555,,,,
cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed2,cifar10,resnet18,naive_dual,4,0.01,2,./results/cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed2/summary.json,./checkpoints/cifar10_resnet18_naive_dual_dyn_pr0.01_kc4_seed2/last.pt,42.69672679901123,360.1249186992645,2,0.939,0.9985277777777777,0.0015555555555555555,0.4776,0.893325,0.10520277777777765,0.9991111111111111,0.9993333333333333,0.998,0.9976666666666667,,,,
cifar10_resnet18_single_dyn_pr0.01_kc4_seed0,cifar10,resnet18,single,4,0.01,0,./results/cifar10_resnet18_single_dyn_pr0.01_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_single_dyn_pr0.01_kc4_seed0/last.pt,42.69666576385498,362.8062345981598,2,0.9385,1.0,0.0,0.8987625,0.8842166666666667,0.10123749999999998,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_single_dyn_pr0.01_kc4_seed1,cifar10,resnet18,single,4,0.01,1,./results/cifar10_resnet18_single_dyn_pr0.01_kc4_seed1/summary.json,./checkpoints/cifar10_resnet18_single_dyn_pr0.01_kc4_seed1/last.pt,42.69666576385498,394.36412024497986,2,0.9395,1.0,0.0,0.8990875,0.873075,0.10091249999999996,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_single_dyn_pr0.01_kc4_seed2,cifar10,resnet18,single,4,0.01,2,./results/cifar10_resnet18_single_dyn_pr0.01_kc4_seed2/summary.json,./checkpoints/cifar10_resnet18_single_dyn_pr0.01_kc4_seed2/last.pt,42.69666576385498,379.46705317497253,2,0.9389,1.0,0.0,0.8990125,0.874925,0.10098750000000001,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed0,cifar10,resnet18,wo_invalid,4,0.01,0,./results/cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed0/last.pt,42.69666576385498,362.9657166004181,2,0.9408,0.9975277777777778,0.0025555555555555557,0.0174375,0.17459166666666667,0.8229361111111111,0.9977777777777778,0.9986666666666667,0.9981111111111111,0.9955555555555555,,,,
cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed1,cifar10,resnet18,wo_invalid,4,0.01,1,./results/cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed1/summary.json,./checkpoints/cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed1/last.pt,42.69666576385498,368.72486448287964,2,0.9392,0.9969444444444444,0.0014444444444444444,0.020725,0.18975,0.8071944444444444,0.9985555555555555,0.9965555555555555,0.9957777777777778,0.9968888888888889,,,,
cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed2,cifar10,resnet18,wo_invalid,4,0.01,2,./results/cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed2/summary.json,./checkpoints/cifar10_resnet18_wo_invalid_dyn_pr0.01_kc4_seed2/last.pt,42.69666576385498,368.33906626701355,2,0.9395,0.9979444444444445,0.0024444444444444444,0.021725,0.23358333333333334,0.7643611111111112,0.9993333333333333,0.9991111111111111,0.9971111111111111,0.9962222222222222,,,,
cifar10_resnet18_full_dyn_pr0.05_kc4_seed0,cifar10,resnet18,full,4,0.05,0,./results/cifar10_resnet18_full_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_full_dyn_pr0.05_kc4_seed0/last.pt,42.69672679901123,403.7844169139862,2,0.9406,1.0,0.0,0.011375,0.016158333333333334,0.9838416666666666,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_full_dyn_pr0.05_kc4_seed1,cifar10,resnet18,full,4,0.05,1,./results/cifar10_resnet18_full_dyn_pr0.05_kc4_seed1/summary.json,./checkpoints/cifar10_resnet18_full_dyn_pr0.05_kc4_seed1/last.pt,42.69672679901123,409.1061041355133,2,0.9406,0.9999444444444445,0.0,0.0120125,0.016808333333333335,0.9831361111111112,1.0,0.9998888888888889,0.9998888888888889,1.0,,,,
cifar10_resnet18_full_dyn_pr0.05_kc4_seed2,cifar10,resnet18,full,4,0.05,2,./results/cifar10_resnet18_full_dyn_pr0.05_kc4_seed2/summary.json,./checkpoints/cifar10_resnet18_full_dyn_pr0.05_kc4_seed2/last.pt,42.69672679901123,406.054096698761,2,0.9397,1.0,0.0,0.0097875,0.014825,0.985175,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed0,cifar10,resnet18,naive_dual,4,0.05,0,./results/cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed0/last.pt,42.69672679901123,370.76348519325256,2,0.9381,0.9999444444444445,0.00011111111111111112,0.4646375,0.9005416666666667,0.09940277777777784,0.9998888888888889,1.0,0.9998888888888889,1.0,,,,
cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed1,cifar10,resnet18,naive_dual,4,0.05,1,./results/cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed1/summary.json,./checkpoints/cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed1/last.pt,42.69672679901123,367.5489749908447,2,0.9392,0.9998333333333332,0.00022222222222222223,0.470425,0.897925,0.10190833333333327,0.9997777777777778,1.0,0.9997777777777778,0.9997777777777778,,,,
cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed2,cifar10,resnet18,naive_dual,4,0.05,2,./results/cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed2/summary.json,./checkpoints/cifar10_resnet18_naive_dual_dyn_pr0.05_kc4_seed2/last.pt,42.69672679901123,370.73771595954895,2,0.9388,1.0,0.0,0.477825,0.898675,0.101325,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_single_dyn_pr0.05_kc4_seed0,cifar10,resnet18,single,4,0.05,0,./results/cifar10_resnet18_single_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_single_dyn_pr0.05_kc4_seed0/last.pt,42.69666576385498,372.69743633270264,2,0.9378,1.0,0.0,0.8998375,0.9402,0.059799999999999964,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_single_dyn_pr0.05_kc4_seed1,cifar10,resnet18,single,4,0.05,1,./results/cifar10_resnet18_single_dyn_pr0.05_kc4_seed1/summary.json,./checkpoints/cifar10_resnet18_single_dyn_pr0.05_kc4_seed1/last.pt,42.69666576385498,378.2252218723297,2,0.943,1.0,0.0,0.9009625,0.9215166666666667,0.07848333333333335,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_single_dyn_pr0.05_kc4_seed2,cifar10,resnet18,single,4,0.05,2,./results/cifar10_resnet18_single_dyn_pr0.05_kc4_seed2/summary.json,./checkpoints/cifar10_resnet18_single_dyn_pr0.05_kc4_seed2/last.pt,42.69666576385498,375.6239206790924,2,0.9432,1.0,0.0,0.900375,0.9257583333333333,0.07424166666666665,1.0,1.0,1.0,1.0,,,,
cifar10_resnet18_wo_invalid_dyn_pr0.05_kc4_seed0,cifar10,resnet18,wo_invalid,4,0.05,0,./results/cifar10_resnet18_wo_invalid_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar10_resnet18_wo_invalid_dyn_pr0.05_kc4_seed0/last.pt,42.69666576385498,376.7417747974396,2,0.9411,0.9998333333333334,0.00011111111111111112,0.011,0.311,0.6888333333333334,0.9998888888888889,0.9997777777777778,0.9997777777777778,0.9998888888888889,,,,
