run_name,dataset,model,method,position_mode,poison_rate,kc,seed,metric_source,final_clean_acc,final_csg,final_invalid_leak,final_single_leak,final_valid_asr,final_valid_asr_c1,final_valid_asr_c2,final_valid_asr_c3,final_wrong_asr,best_clean_acc,best_csg,best_invalid_leak,best_single_leak,best_valid_asr,best_valid_asr_c1,best_valid_asr_c2,best_valid_asr_c3,best_wrong_asr,final_valid_asr_c4,best_valid_asr_c4
gtsrb_resnet18_full_dyn_pr0.1_kc3_seed0,gtsrb,resnet18,full,dynamic,0.1,3,0,./results/gtsrb_resnet18_full_dyn_pr0.1_kc3_seed0/summary.json,0.9854315122723674,0.9993393393393394,0.0006606606606606607,0.00046546546546546546,1.0,1.0,1.0,1.0,0.0,0.9823436262866192,0.9996396396396396,0.00036036036036036037,0.00018018018018018018,1.0,1.0,1.0,1.0,0.0,,
gtsrb_resnet18_full_dyn_pr0.1_kc3_seed1,gtsrb,resnet18,full,dynamic,0.1,3,1,./results/gtsrb_resnet18_full_dyn_pr0.1_kc3_seed1/summary.json,0.9897070467141726,0.9996996996996997,0.0003003003003003003,0.0003003003003003003,1.0,1.0,1.0,1.0,0.0,0.9897070467141726,0.9996996996996997,0.0003003003003003003,0.0003003003003003003,1.0,1.0,1.0,1.0,0.0,,
gtsrb_resnet18_full_dyn_pr0.1_kc3_seed2,gtsrb,resnet18,full,dynamic,0.1,3,2,./results/gtsrb_resnet18_full_dyn_pr0.1_kc3_seed2/summary.json,0.9855898653998416,0.9983783783783784,0.0016216216216216215,0.0012012012012012011,1.0,1.0,1.0,1.0,0.0,0.9854315122723674,0.999024024024024,0.000975975975975976,0.0006756756756756757,1.0,1.0,1.0,1.0,0.0,,
gtsrb_resnet18_full_dyn_pr0.1_kc4_seed0,gtsrb,resnet18,full,dynamic,0.1,4,0,./results/gtsrb_resnet18_full_dyn_pr0.1_kc4_seed0/summary.json,0.9862232779097387,0.9989788732394366,0.0010093896713615023,0.0010211267605633803,1.0,1.0,1.0,1.0,0.0,0.9865399841646872,0.9992488262910798,0.0007198748043818466,0.0007511737089201878,1.0,1.0,1.0,1.0,0.0,1.0,1.0
gtsrb_resnet18_full_dyn_pr0.1_kc4_seed1,gtsrb,resnet18,full,dynamic,0.1,4,1,./results/gtsrb_resnet18_full_dyn_pr0.1_kc4_seed1/summary.json,0.9861441013460016,0.9993192488262911,0.0006572769953051643,0.0006807511737089201,1.0,1.0,1.0,1.0,0.0,0.9861441013460016,0.9993192488262911,0.0006572769953051643,0.0006807511737089201,1.0,1.0,1.0,1.0,0.0,1.0,1.0
gtsrb_resnet18_full_dyn_pr0.1_kc4_seed2,gtsrb,resnet18,full,dynamic,0.1,4,2,./results/gtsrb_resnet18_full_dyn_pr0.1_kc4_seed2/summary.json,0.9844022169437846,0.9984585289514867,0.001541471048513302,0.0014906103286384976,1.0,1.0,1.0,1.0,0.0,0.9845605700712589,0.9986697965571205,0.0013302034428794992,0.0013028169014084507,1.0,1.0,1.0,1.0,0.0,1.0,1.0
gtsrb_vgg11_full_dyn_pr0.1_kc3_seed0,gtsrb,vgg11,full,dynamic,0.1,3,0,./results/gtsrb_vgg11_full_dyn_pr0.1_kc3_seed0/summary.json,0.973950910530483,0.9986786786786787,0.0013213213213213214,0.0011861861861861861,1.0,1.0,1.0,1.0,0.0,0.973950910530483,0.9986786786786787,0.0013213213213213214,0.0011861861861861861,1.0,1.0,1.0,1.0,0.0,,
gtsrb_vgg11_full_dyn_pr0.1_kc3_seed1,gtsrb,vgg11,full,dynamic,0.1,3,1,./results/gtsrb_vgg11_full_dyn_pr0.1_kc3_seed1/summary.json,0.9742676167854315,0.9993093093093093,0.0005855855855855856,0.0006906906906906907,1.0,1.0,1.0,1.0,0.0,0.9730007917656374,0.9995495495495496,0.00043543543543543545,0.00045045045045045046,1.0,1.0,1.0,1.0,0.0,,
gtsrb_vgg11_full_dyn_pr0.1_kc3_seed2,gtsrb,vgg11,full,dynamic,0.1,3,2,./results/gtsrb_vgg11_full_dyn_pr0.1_kc3_seed2/summary.json,0.9726840855106889,0.9983333333333333,0.0013813813813813814,0.0016666666666666668,1.0,1.0,1.0,1.0,0.0,0.9688836104513064,0.9987746837746838,0.0011261261261261261,0.0011411411411411411,0.999915824915825,1.0,1.0,0.9997474747474747,0.0002525252525252525,,
gtsrb_vgg11_full_dyn_pr0.1_kc4_seed0,gtsrb,vgg11,full,dynamic,0.1,4,0,./results/gtsrb_vgg11_full_dyn_pr0.1_kc4_seed0/summary.json,0.9724465558194775,0.9987402190923318,0.0012597809076682316,0.0009272300469483568,1.0,1.0,1.0,1.0,0.0,0.9724465558194775,0.9987402190923318,0.0012597809076682316,0.0009272300469483568,1.0,1.0,1.0,1.0,0.0,1.0,1.0
