run_name,dataset,model,kc,seed,category,num_pairs,total_pair_sample_instances,pooled_prediction_change_rate,pooled_raw_target_rate,pooled_target_leakage_rate,mean_pair_target_leakage,std_pair_target_leakage,median_pair_target_leakage,p95_pair_target_leakage,max_pair_target_leakage,mean_pair_prediction_change,std_pair_prediction_change,max_pair_prediction_change,mean_pair_raw_target_rate,std_pair_raw_target_rate,max_pair_raw_target_rate,worst_pair_id,worst_pair_p1,worst_pair_p2,worst_target,worst_target_changed_rate
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,16,160000,0.13958125,0.0418625,0.00765625,0.00765625,0.005625651814086375,0.0064,0.014124999999999999,0.0277,0.13958125,0.020040366555197205,0.1833,0.0418625,0.0056186445577796305,0.0619,seen_p1_unseen_p2_10,y18_x2,y10_x10,3,0.00280625
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,16,160000,0.20030625,0.09975625,0.0678375,0.0678375,0.23993807221864563,0.00785,0.25327500000000003,0.9675,0.20030625,0.20581986126627008,0.9675,0.09975624999999999,0.23425613323525454,0.9781,unseen_p1_seen_p2_02,y10_x2,y2_x26,3,0.06225
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_unseen_p2,16,160000,0.15021875,0.040175,0.0069375,0.0069375,0.0030168139927192507,0.0063,0.0109,0.0166,0.15021875,0.02061301267807951,0.2081,0.040175,0.0028796990583508306,0.0484,unseen_p1_unseen_p2_01,y10_x10,y10_x18,2,0.003075
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,4,1,seen_p1_unseen_p2,16,160000,0.18396875,0.089225,0.05668125,0.05668125,0.18774104938718117,0.0071,0.218175,0.7599,0.18396875,0.1553143638721158,0.7626,0.089225,0.18426604498206753,0.7794,seen_p1_unseen_p2_07,y26_x26,y2_x18,2,0.0505875
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,4,1,unseen_p1_seen_p2,16,160000,0.207775,0.098375,0.06688125,0.06688125,0.24024146802401397,0.006200000000000001,0.254075,0.9677,0.207775,0.20365343273970773,0.9677,0.098375,0.23454085216297252,0.9778,unseen_p1_seen_p2_14,y26_x10,y2_x2,2,0.062825
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,4,1,unseen_p1_unseen_p2,16,160000,0.1692875,0.05863125,0.0261,0.0261,0.07801173416010354,0.0055,0.088775,0.3185,0.1692875,0.05723441709321411,0.3607,0.05863125,0.07718730222646727,0.3479,unseen_p1_unseen_p2_03,y10_x2,y18_x26,3,0.0219625
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,4,2,seen_p1_unseen_p2,16,160000,0.15111875,0.03793125,0.00625,0.00625,0.0018007405883876406,0.0058,0.0096,0.0096,0.15111875,0.016609443849810262,0.1795,0.03793125,0.002468661918259903,0.0423,seen_p1_unseen_p2_02,y18_x26,y18_x18,2,0.00203125
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,4,2,unseen_p1_seen_p2,16,160000,0.16625,0.0394125,0.00804375,0.00804375,0.0038176727203886925,0.0072,0.015875,0.0191,0.16625,0.017391032171783248,0.1939,0.0394125,0.0045027213993317425,0.0514,unseen_p1_seen_p2_13,y18_x18,y10_x26,3,0.0041875
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,4,2,unseen_p1_unseen_p2,16,160000,0.1699625,0.03983125,0.00856875,0.00856875,0.002883451346332493,0.00775,0.012725,0.014,0.1699625,0.02174181455168818,0.2182,0.03983125,0.003521310125507267,0.0464,unseen_p1_unseen_p2_04,y10_x18,y18_x10,3,0.0039625
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,8,0,seen_p1_unseen_p2,16,160000,0.14871875,0.07859375,0.01220625,0.01220625,0.004264812422604305,0.010700000000000001,0.01925,0.0236,0.14871875,0.013077880498510963,0.166,0.07859375,0.006329241002416219,0.0892,seen_p1_unseen_p2_01,y21_x26,y7_x12,4,0.00373125
