dataset,model,kc,category,num_seeds,pooled_target_leakage_rate_mean,pooled_target_leakage_rate_std,mean_pair_target_leakage_mean,mean_pair_target_leakage_std,p95_pair_target_leakage_mean,p95_pair_target_leakage_std,max_pair_target_leakage_mean,max_pair_target_leakage_std,pooled_prediction_change_rate_mean,pooled_prediction_change_rate_std,pooled_raw_target_rate_mean,pooled_raw_target_rate_std,worst_target_changed_rate_mean,worst_target_changed_rate_std
cifar10,resnet18,4,seen_p1_unseen_p2,3,0.028129166666666667,0.007460820407021826,0.028129166666666667,0.007460820407021826,0.06415,0.05237156313305914,0.0669,0.052367642681335196,0.05211458333333333,0.008149741975721275,0.399025,0.00418889902002902,0.011410416666666668,0.004425539927040918
cifar10,resnet18,4,unseen_p1_seen_p2,3,0.04779791666666666,0.03347914598889633,0.04779791666666667,0.03347914598889633,0.13136666666666666,0.14306987875976315,0.3234666666666666,0.4606036510204118,0.07177916666666667,0.030868320591600593,0.41478125,0.026492386140880207,0.029454166666666667,0.027646887068589355
cifar10,resnet18,4,unseen_p1_unseen_p2,3,0.03489791666666667,0.000474190648192618,0.03489791666666667,0.000474190648192614,0.05789166666666667,0.007660790320412989,0.06356666666666666,0.009130899919139039,0.06554166666666666,0.001640518845772073,0.4017354166666667,0.0008509492248855385,0.013602083333333334,0.002119812909393971
cifar10,resnet18,8,seen_p1_unseen_p2,3,0.03724583333333333,0.002539472242579809,0.03724583333333333,0.002539472242579809,0.04505833333333333,0.0023375111407934147,0.046533333333333336,0.0030435724623102595,0.042660416666666666,0.0034798770482350845,0.7992041666666667,0.0017718428495025736,0.00893125,0.00016250000000000013
cifar10,resnet18,8,unseen_p1_seen_p2,3,0.041570833333333335,0.006848064659692788,0.041570833333333335,0.006848064659692788,0.06246666666666667,0.00896748757084911,0.06436666666666667,0.010032613484697455,0.045527083333333336,0.007092429208905316,0.8017458333333334,0.001891204284532303,0.011766666666666667,0.0023883042929730147
cifar10,resnet18,8,unseen_p1_unseen_p2,3,0.051014583333333335,0.004107007794104286,0.051014583333333335,0.004107007794104286,0.06958333333333333,0.010332271450815325,0.07023333333333334,0.010761195720426862,0.055822916666666667,0.0050624858538897,0.8023395833333333,0.0018465162863709726,0.015058333333333333,0.00020826040390178172
cifar10,vgg11,4,seen_p1_unseen_p2,3,0.06905416666666667,0.021386770638255167,0.06905416666666667,0.021386770638255163,0.1449,0.07967674143060821,0.2033,0.15515640495964064,0.12986875,0.02749642874538438,0.40201041666666665,0.008007946086284145,0.03596666666666667,0.015739600154414134
cifar10,vgg11,4,unseen_p1_seen_p2,3,0.10884375,0.018950231899966294,0.10884374999999999,0.01895023189996629,0.2841916666666667,0.14467536144186172,0.2982666666666667,0.13752382823835776,0.17584791666666666,0.030585773560118327,0.43538333333333334,0.0030333068622929206,0.059658333333333334,0.025804542760594178
cifar10,vgg11,4,unseen_p1_unseen_p2,3,0.1325625,0.025911969362632396,0.1325625,0.025911969362632396,0.24876666666666666,0.04692375686508204,0.27666666666666667,0.02713601542845473,0.20835416666666667,0.03392372264851446,0.4534958333333333,0.017456387993248595,0.09245208333333334,0.03827197149459815
cifar10,vgg11,8,seen_p1_unseen_p2,3,0.12245833333333334,0.032369239553483996,0.12245833333333334,0.032369239553483996,0.20693333333333333,0.11120885849757352,0.39603333333333335,0.4347866411624595,0.1327375,0.03225373222105467,0.8064541666666667,0.0064198067938866475,0.03986041666666667,0.01877176063654748
cifar10,vgg11,8,unseen_p1_seen_p2,3,0.18160208333333333,0.029331623781267777,0.18160208333333333,0.029331623781267777,0.2633083333333333,0.05067608739172092,0.28713333333333335,0.06573281778026357,0.19641458333333334,0.026618202134927025,0.8037479166666667,0.007425085051420816,0.08995,0.023841635718842784
cifar10,vgg11,8,unseen_p1_unseen_p2,3,0.21570833333333334,0.03281330614089099,0.21570833333333334,0.03281330614089099,0.3026916666666667,0.03984465407471038,0.33986666666666665,0.07662306006244683,0.23070625,0.029320560592142508,0.80933125,0.007338098889528498,0.1116,0.027225105457784726
cifar100,resnet18,4,seen_p1_unseen_p2,3,0.023529166666666667,0.028719154875637157,0.023529166666666667,0.028719154875637157,0.08063333333333333,0.11913606279516431,0.2657333333333333,0.42805656557671595,0.15822291666666666,0.023030727888699767,0.05633958333333333,0.02854735808522101,0.018475000000000002,0.02781294030550348
cifar100,resnet18,4,unseen_p1_seen_p2,3,0.0475875,0.034249229576189005,0.0475875,0.034249229576189005,0.17440833333333333,0.13729447670366546,0.6514333333333333,0.5476167394568334,0.19144375,0.02213570274324941,0.07918125000000001,0.03444767147881697,0.0430875,0.03368961496143879
cifar100,resnet18,4,unseen_p1_unseen_p2,3,0.013868750000000001,0.010623928254769984,0.013868750000000001,0.010623928254769984,0.03746666666666667,0.044443688622045466,0.11636666666666667,0.17505742867223126,0.16315625,0.011209285701484275,0.046212500000000004,0.010756326263529757,0.009666666666666667,0.010657746107096628
cifar100,resnet18,8,seen_p1_unseen_p2,3,0.012033333333333333,0.0016910187080080843,0.012033333333333333,0.0016910187080080843,0.017816666666666668,0.002104954472983521,0.019666666666666666,0.0035795716689756792,0.15173541666666668,0.0058585085470479045,0.0779875,0.0016513133977231595,0.002785416666666667,0.0009972096486363003
cifar100,resnet18,8,unseen_p1_seen_p2,3,0.013072916666666667,0.0017860826257016591,0.013072916666666667,0.00178608262570166,0.01755,0.002504121602478602,0.0178,0.00235796522451032,0.15151666666666666,0.008486133757243832,0.0799,0.0023711399552746783,0.0027208333333333334,0.0007289047148519026
cifar100,resnet18,8,unseen_p1_unseen_p2,3,0.01256875,0.0009597973418904638,0.01256875,0.0009597973418904638,0.01725,0.001286710923245777,0.0181,0.0019519221295943138,0.15070416666666667,0.010070734855055675,0.07958749999999999,0.0005859020822628992,0.00238125,0.00012686114456365264
cifar100,vgg11,4,seen_p1_unseen_p2,3,0.0116375,0.0025300768886537817,0.0116375,0.0025300768886537817,0.0254,0.015310719284213918,0.0342,0.022851914580621028,0.28484166666666666,0.018285191170612173,0.03829375,0.002046424091555805,0.004641666666666666,0.0016461642599793413
cifar100,vgg11,4,unseen_p1_seen_p2,3,0.04065,0.027956386932372,0.04065,0.027956386932372,0.12312499999999998,0.1160791190309437,0.4023,0.4900896550632343,0.3562958333333333,0.038847594003951304,0.06658333333333333,0.028050171521682956,0.02738125,0.028827481869519927
cifar100,vgg11,4,unseen_p1_unseen_p2,3,0.019854166666666666,0.006097112320257297,0.019854166666666666,0.006097112320257297,0.03295,0.0109193349156439,0.0375,0.016550226584551644,0.38367083333333335,0.043364066225197714,0.04485625,0.005103793778896244,0.0096875,0.003567042060657541
cifar100,vgg11,8,seen_p1_unseen_p2,3,0.026429166666666667,0.003232901737732425,0.026429166666666667,0.003232901737732425,0.040775,0.005989417751334428,0.0442,0.010179882121124981,0.29001666666666664,0.007980342874578328,0.08064583333333333,0.005113440979011425,0.0068,0.0017689487520841298
cifar100,vgg11,8,unseen_p1_seen_p2,3,0.04543541666666667,0.015168225080190938,0.045435416666666666,0.015168225080190938,0.07810833333333334,0.028280451876399236,0.09023333333333333,0.03437678480215003,0.39279375,0.0412991813818688,0.09418750000000001,0.013640434205423964,0.019027083333333333,0.010403958706705508
cifar100,vgg11,8,unseen_p1_unseen_p2,3,0.06353541666666666,0.007184500279826937,0.06353541666666666,0.007184500279826937,0.106975,0.011354211773610698,0.1169,0.012308939840619912,0.4459416666666667,0.02894479277254949,0.10928541666666668,0.009269283812454626,0.027520833333333335,0.007041729228025836
gtsrb,resnet18,4,seen_p1_unseen_p2,3,0.013273621008181578,0.010386290952134598,0.013273621008181578,0.010386290952134598,0.041917392451834255,0.03113714842408125,0.06070203219846925,0.05115261527933148,0.052274676695698075,0.009412551532303215,0.16371898917920297,0.0102728019828419,0.005471430456584851,0.0038594175873200706
gtsrb,resnet18,4,unseen_p1_seen_p2,3,0.0312780416996569,0.022771750636233178,0.0312780416996569,0.022771750636233178,0.09263657957244656,0.07530155089768678,0.1870942201108472,0.20566182157797513,0.0584916864608076,0.023349737305393387,0.18040874901029297,0.021287836495957915,0.01911949063077329,0.015670835496577017
gtsrb,resnet18,4,unseen_p1_unseen_p2,3,0.05255839271575613,0.06314058685774361,0.05255839271575613,0.06314058685774361,0.18483768804433887,0.22663080523758097,0.2705463182897862,0.34588901491899254,0.1337094220110847,0.02949969076489924,0.19315287674848244,0.05971890317441173,0.0319065056743204,0.04103569443458402
gtsrb,resnet18,8,seen_p1_unseen_p2,3,0.018441541303774085,0.002592250085451286,0.018441541303774085,0.002592250085451286,0.0843296384270256,0.01845358972176701,0.1339931380311428,0.0038871849343360986,0.07261315650567432,0.009761092474599008,0.30609494589601477,0.003965936355757787,0.006924650303510161,0.0009216018597477544
