run_name,dataset,model,kc,seed,category,pair_id,p1,p2,seen_config_id,prediction_change_rate,raw_target_rate,target_leakage_rate,worst_target,worst_target_changed_rate
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_01,y26_x10,y26_x18,2,0.1261,0.0392,0.0047,2,0.0018
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_02,y26_x26,y18_x18,1,0.1319,0.0418,0.0068,2,0.0036
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_03,y26_x2,y10_x10,0,0.1512,0.0413,0.0066,3,0.0025
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_04,y18_x2,y26_x18,3,0.1271,0.0404,0.0061,2,0.0041
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_05,y26_x2,y10_x2,0,0.1084,0.0384,0.0033,2,0.0014
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_06,y26_x26,y10_x2,1,0.1304,0.0439,0.0094,1,0.0052
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_07,y26_x10,y18_x26,2,0.1267,0.0407,0.0058,2,0.0022
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_08,y26_x26,y10_x10,1,0.1504,0.0394,0.0066,2,0.0022
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_09,y26_x2,y18_x10,0,0.14,0.0395,0.005,3,0.0018
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_10,y18_x2,y10_x10,3,0.1833,0.0619,0.0277,3,0.0221
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_11,y18_x2,y10_x2,3,0.1413,0.0406,0.0064,2,0.0025
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_12,y18_x2,y10_x18,3,0.1628,0.0419,0.0088,2,0.0052
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_13,y26_x26,y26_x18,1,0.1093,0.0388,0.0046,2,0.0019
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_14,y26_x2,y10_x18,0,0.1293,0.0385,0.0047,1,0.0018
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_15,y26_x10,y10_x18,2,0.1615,0.0441,0.0096,2,0.0039
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,seen_p1_unseen_p2,seen_p1_unseen_p2_16,y18_x2,y2_x10,3,0.1536,0.0394,0.0064,2,0.0038
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_01,y26_x18,y2_x2,1,0.1311,0.0388,0.0054,1,0.0017
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_02,y10_x2,y2_x26,0,0.9675,0.9781,0.9675,3,0.9675
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_03,y18_x26,y2_x26,0,0.1093,0.0368,0.0024,0,0.0012
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_04,y10_x10,y2_x2,1,0.175,0.0406,0.0083,2,0.0039
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_05,y18_x18,y10_x26,3,0.1534,0.0507,0.0152,3,0.0105
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_06,y18_x18,y2_x18,2,0.152,0.036,0.004,2,0.0018
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_07,y18_x26,y2_x2,1,0.1333,0.0426,0.0093,1,0.0064
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_08,y26_x18,y2_x18,2,0.1262,0.037,0.004,2,0.0013
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_09,y18_x10,y2_x18,2,0.1813,0.0466,0.0148,2,0.0101
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_10,y10_x18,y2_x2,1,0.1637,0.0392,0.0066,1,0.0031
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_11,y10_x18,y10_x26,3,0.1653,0.0446,0.0105,3,0.0056
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_12,y18_x26,y10_x26,3,0.1123,0.0384,0.0037,2,0.0019
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_13,y18_x10,y10_x26,3,0.1652,0.0423,0.0091,2,0.0054
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_14,y10_x10,y10_x26,3,0.17,0.0426,0.0099,2,0.0059
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_15,y2_x10,y10_x26,3,0.1315,0.0414,0.0073,2,0.0043
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_seen_p2,unseen_p1_seen_p2_16,y18_x10,y2_x2,1,0.1678,0.0404,0.0074,2,0.0042
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_unseen_p2,unseen_p1_unseen_p2_01,y10_x10,y10_x18,,0.2081,0.0484,0.0166,2,0.0091
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_unseen_p2,unseen_p1_unseen_p2_02,y10_x18,y18_x26,,0.1505,0.0413,0.0074,3,0.003
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_unseen_p2,unseen_p1_unseen_p2_03,y2_x10,y18_x26,,0.1235,0.0411,0.0059,2,0.0039
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_unseen_p2,unseen_p1_unseen_p2_04,y18_x26,y10_x18,,0.1427,0.0395,0.0067,2,0.0036
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_unseen_p2,unseen_p1_unseen_p2_05,y10_x10,y18_x26,,0.159,0.0426,0.0087,2,0.0052
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,unseen_p1_unseen_p2,unseen_p1_unseen_p2_06,y26_x18,y2_x10,,0.1342,0.0364,0.0047,3,0.0023
