run_name,dataset,model,kc,seed,test_size,num_pairs,clean_target_prediction_rate,pooled_target_leakage_rate,mean_pair_target_leakage,p95_pair_target_leakage,max_pair_target_leakage,pooled_prediction_change_rate,pooled_raw_target_rate,worst_target_changed_rate,elapsed_seconds
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,10000,48,0.0395,0.027477083333333333,0.027477083333333333,0.01611,0.9675,0.16336875,0.06059791666666667,0.022235416666666667,50.430779457092285
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,4,1,10000,48,0.0389,0.0498875,0.0498875,0.2201849999999996,0.9677,0.18701041666666668,0.08207708333333333,0.03866875,37.280495405197144
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,4,2,10000,48,0.0369,0.007620833333333334,0.007620833333333334,0.013404999999999997,0.0191,0.16244375,0.039058333333333334,0.00335,37.527090311050415
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,8,0,10000,48,0.0807,0.011872916666666667,0.011872916666666667,0.015995000000000002,0.0236,0.14415625,0.07934375,0.0028125,38.011592388153076
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,8,1,10000,48,0.0793,0.011689583333333333,0.011689583333333333,0.01816,0.02,0.15579583333333333,0.07763333333333333,0.0020458333333333335,38.00516128540039
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,8,2,10000,48,0.0803,0.0141125,0.0141125,0.0188,0.0198,0.15400416666666666,0.08049791666666667,0.0029458333333333333,37.881972789764404
cifar100_vgg11_full_dyn_pr0.05_kc4_seed0,cifar100,vgg11,4,0,10000,48,0.0371,0.0164875,0.0164875,0.036665,0.0586,0.3139208333333333,0.04256041666666667,0.006925,35.08139634132385
cifar100_vgg11_full_dyn_pr0.05_kc4_seed1,cifar100,vgg11,4,1,10000,48,0.0382,0.030945833333333332,0.030945833333333332,0.020255000000000002,0.9577,0.33290416666666667,0.0573875,0.020747916666666668,30.788172721862793
cifar100_vgg11_full_dyn_pr0.05_kc4_seed2,cifar100,vgg11,4,2,10000,48,0.0369,0.024708333333333332,0.024708333333333332,0.04084,0.2186,0.37798333333333334,0.049785416666666665,0.009189583333333333,30.66746950149536
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,8,0,10000,48,0.0787,0.04550833333333333,0.04550833333333333,0.09940499999999998,0.1114,0.381325,0.09473125,0.014533333333333334,31.000136852264404
