dataset,model,strategy,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg
cifar10,resnet18,fixed,0.9422,0.1935740740740741,0.6351481481481481,0.0148625,0.0845404761904761,-0.441574074074074
cifar10,resnet18,dynamic,0.9405333333333332,0.9998657407407406,0.0004444444444444,0.02045,0.0320380952380952,0.9678276455026454
cifar10,vgg11,fixed,0.9056333333333332,0.252037037037037,0.5748888888888889,0.0333125,0.1211267857142857,-0.3228518518518519
cifar10,vgg11,dynamic,0.9048,0.9987037037037036,0.0022592592592592,0.0474291666666666,0.0718267857142857,0.926876917989418
cifar100,resnet18,fixed,0.7658999999999999,0.5754377104377104,0.0332323232323232,0.0143291666666666,0.2500767857142857,0.3253609247234246
cifar100,resnet18,dynamic,0.7615,0.99875,0.0003030303030303,0.0082666666666666,0.0109172619047619,0.9878327380952382
cifar100,vgg11,fixed,0.6835999999999999,0.686199494949495,0.0211447811447811,0.0231041666666666,0.2989321428571428,0.3872673520923522
cifar100,vgg11,dynamic,0.6805666666666667,0.9980639730639732,0.0003030303030303,0.0134333333333333,0.0176994047619047,0.9803645683020684
gtsrb,resnet18,fixed,0.985193982581156,0.0972435497780694,0.2713675213675213,0.0016660068619688,0.0409719865776872,-0.1741239715894519
gtsrb,resnet18,dynamic,0.9857746107152282,1.0,0.0,0.0008775402480865,0.0011414621272103,0.9988585378727896
gtsrb,vgg11,fixed,0.9697281604645024,0.1879716413938941,0.2484816428781946,0.0055621536025336,0.0803133129736455,-0.0605100014843004
gtsrb,vgg11,dynamic,0.9727896542623384,0.999788909785488,0.000417432470064,0.0033534573766165,0.0050687139463861,0.9947201958391018
cifar10,resnet18,fixed_diverse,0.9405,0.9998657407407407,0.0004074074074074,0.0216416666666666,0.0362827380952381,0.9635830026455028
cifar10,vgg11,fixed_diverse,0.9076666666666666,0.9991666666666666,0.0014814814814814,0.0506625,0.0782142857142857,0.920952380952381
cifar100,resnet18,fixed_diverse,0.7614666666666666,0.9987205387205388,0.0007070707070707,0.0107187499999999,0.0119309523809523,0.9866568482443482
cifar100,vgg11,fixed_diverse,0.6779999999999999,0.99861531986532,0.0003030303030303,0.0133479166666666,0.0177678571428571,0.9808474627224628
gtsrb,resnet18,fixed_diverse,0.9855370810240168,1.0,0.0,0.0010210477698601,0.0014412019756437,0.9985587980243564
gtsrb,vgg11,fixed_diverse,0.9720770651887042,0.999085406932333,0.0005502261400628,0.0040841910794404,0.0060367416958865,0.9930486652364464
