dataset,model,method,position_mode,poison_rate,kc,num_seeds,final_clean_acc_mean,final_clean_acc_std,final_clean_acc_count,final_csg_mean,final_csg_std,final_csg_count,final_invalid_leak_mean,final_invalid_leak_std,final_invalid_leak_count,final_per_config_max_mean,final_per_config_max_std,final_per_config_max_count,final_per_config_min_mean,final_per_config_min_std,final_per_config_min_count,final_per_config_std_mean,final_per_config_std_std,final_per_config_std_count,final_single_leak_mean,final_single_leak_std,final_single_leak_count,final_valid_asr_mean,final_valid_asr_std,final_valid_asr_count,final_valid_asr_c1_mean,final_valid_asr_c1_std,final_valid_asr_c1_count,final_valid_asr_c10_mean,final_valid_asr_c10_std,final_valid_asr_c10_count,final_valid_asr_c2_mean,final_valid_asr_c2_std,final_valid_asr_c2_count,final_valid_asr_c3_mean,final_valid_asr_c3_std,final_valid_asr_c3_count,final_valid_asr_c4_mean,final_valid_asr_c4_std,final_valid_asr_c4_count,final_valid_asr_c5_mean,final_valid_asr_c5_std,final_valid_asr_c5_count,final_valid_asr_c6_mean,final_valid_asr_c6_std,final_valid_asr_c6_count,final_valid_asr_c7_mean,final_valid_asr_c7_std,final_valid_asr_c7_count,final_valid_asr_c8_mean,final_valid_asr_c8_std,final_valid_asr_c8_count,final_valid_asr_c9_mean,final_valid_asr_c9_std,final_valid_asr_c9_count,final_wrong_asr_mean,final_wrong_asr_std,final_wrong_asr_count
cifar10,resnet18,full,dynamic,0.05,6,3,0.9425,0.002553429066960751,3,0.9653211419753086,0.000917065281518741,3,0.034425,0.0008875293422379558,3,1.0,0.0,3,0.9996296296296296,6.415002990999409e-05,3,0.00012920208227765865,2.6084430446698704e-05,3,0.033791666666666664,0.0015538650288161376,3,0.9998641975308642,1.069167165172978e-05,3,0.9998888888888889,0.0,3,,,0,0.999925925925926,6.415002990992999e-05,3,0.9999629629629629,6.415002990992999e-05,3,0.9999629629629629,6.415002990992999e-05,3,0.9998148148148148,0.00012830005981992408,3,0.9996296296296296,6.415002990999409e-05,3,,,0,,,0,,,0,0.00025925925925925926,6.415002990995841e-05,3
cifar10,resnet18,full,dynamic,0.05,8,3,0.9406333333333333,0.00032145502536639643,3,0.9645324074074074,0.0018996605001004717,3,0.035333333333333335,0.0018966928230385604,3,1.0,0.0,3,0.9995185185185185,6.415002990992999e-05,3,0.00016103348156642472,3.360554857065385e-05,3,0.034083333333333334,0.0023769180851121743,3,0.9998657407407407,8.018753738733236e-06,3,0.9999629629629629,6.415002990992999e-05,3,,,0,0.9999629629629629,6.415002990992999e-05,3,0.9999629629629629,6.415002990992999e-05,3,0.9998518518518519,0.00012830005981992408,3,0.9998888888888889,0.00011111111111111738,3,0.9995925925925926,6.415002990999409e-05,3,0.9999259259259259,0.00012830005981992408,3,0.9997777777777778,0.0002939723678960612,3,,,0,0.00044444444444444447,0.0,3
cifar10,resnet18,full,dynamic,0.05,10,3,0.9410666666666667,0.002203028218914477,3,0.9990037037037037,0.0001450131255588222,3,0.0,0.0,3,0.9998888888888889,0.0,3,0.9992962962962963,0.00012830005981992408,3,0.0001873622089419124,3.1385972969790557e-05,3,0.0,0.0,3,0.9997074074074075,3.571722504063205e-05,3,0.9996666666666667,0.00011111111111111738,3,0.9997037037037038,0.000169725025739139,3,0.9998888888888889,0.0,3,0.9997777777777778,0.00011111111111111738,3,0.9998888888888889,0.0,3,0.9995925925925926,0.00025660011963984816,3,0.9995555555555555,0.00033333333333335213,3,0.9994814814814815,0.00023129622216290778,3,0.9998148148148148,6.415002990999409e-05,3,0.9997037037037038,6.415002990992999e-05,3,0.0007037037037037037,0.00012830005981991682,3
cifar10,vgg11,full,dynamic,0.05,6,3,0.9100666666666667,0.0012055427546683194,3,0.9403895061728395,0.0013029170650398724,3,0.058616666666666664,0.0014752353861145141,3,0.9997407407407407,0.00027962349760260675,3,0.998,0.0008012336167698206,3,0.0006131996145991392,0.00035564031668843796,3,0.05451388888888889,0.0010061299387771484,3,0.9990061728395061,0.0002970668991485437,3,0.9993703703703704,0.0006697459748157278,3,,,0,0.9996666666666667,0.00019245008972985404,3,0.9993333333333333,0.00019245008972991817,3,0.9987407407407407,0.0007398142353865631,3,0.9985925925925926,0.0011129614223197883,3,0.9983333333333333,0.0005555555555555869,3,,,0,,,0,,,0,0.0014814814814814814,0.000722934122071968,3
cifar10,vgg11,full,dynamic,0.05,8,3,0.9053,0.0008185352771872633,3,0.9420340608465608,0.002222968875532845,3,0.056669642857142856,0.0015733298157677151,3,0.9994814814814815,0.0003902093982538535,3,0.9971851851851852,0.00189975090418254,3,0.0006685733723970322,0.00046816125684389487,3,0.051375,0.0014013804577986673,3,0.9987037037037038,0.0007719690498922891,3,0.999,0.001018350154434628,3,,,0,0.9992962962962963,0.00046259244432583335,3,0.9985555555555555,0.0011547005383792527,3,0.9985925925925926,0.0007056503290095503,3,0.9991111111111111,0.00022222222222217924,3,0.9985925925925926,0.00025660011963984816,3,0.9987407407407407,0.0008190127550924799,3,0.9977407407407407,0.0023761503603474785,3,,,0,0.0022592592592592595,0.001316248566216064,3
cifar10,vgg11,full,dynamic,0.05,10,3,0.9038333333333334,0.002307234997422961,3,0.9969111111111111,0.0002795499027867173,3,0.0,0.0,3,0.9995555555555555,0.00011111111111111738,3,0.9980370370370371,0.00023129622216290778,3,0.00044308431730679537,6.635752047846304e-05,3,0.0,0.0,3,0.9988740740740741,6.697459748140242e-05,3,0.9991111111111111,0.0004006168083848795,3,0.9986296296296296,0.00046259244432583335,3,0.9991481481481481,0.0005132002392796963,3,0.9990740740740741,0.00042065987746666664,3,0.9986296296296296,0.0008339503888294793,3,0.9990740740740741,0.0005592469952052723,3,0.9990370370370371,0.00016972502573909054,3,0.9984444444444445,0.00022222222222223476,3,0.9987407407407407,0.00033945005147816893,3,0.9988518518518519,0.00042065987746666664,3,0.0019629629629629632,0.00023129622216290358,3
cifar100,resnet18,full,dynamic,0.05,6,3,0.7634,0.002600000000000034,3,0.9814407670081429,0.002435971382471721,3,0.014697399527186761,0.0006560315634705939,3,0.9994276094276094,0.00015429547794461784,3,0.9976767676767677,0.0002672476071782222,3,0.0006372603900072433,0.00012952600611457638,3,0.017139479905437353,0.0022704787447501732,3,0.9985802469135803,0.00019512164591149736,3,0.9984511784511785,5.831820900908553e-05,3,,,0,0.9987205387205387,0.0010366871594842256,3,0.9984848484848485,0.0010101010101010166,3,0.9983164983164984,0.0008590808634459755,3,0.9986531986531987,0.0007094716331887412,3,0.9988552188552189,0.0005918651795032996,3,,,0,,,0,,,0,6.734006734006734e-05,5.8318209009053106e-05,3
cifar100,resnet18,full,dynamic,0.05,8,3,0.7647,0.004200000000000037,3,0.9790353260869564,0.0013710601314935844,3,0.019536749482401656,0.0017420268768417522,3,0.9994612794612795,0.00011663641801810697,3,0.9974410774410775,0.0014718850501276098,3,0.000617510707632142,0.0003893068726300877,3,0.019705615942028985,0.0015323974890444532,3,0.99875,0.0003771006192693565,3,0.9992592592592593,0.00023327283603621394,3,,,0,0.9986531986531987,0.00038241807042428287,3,0.9990909090909091,0.0005050505050505083,3,0.9990572390572391,0.00011663641801810697,3,0.9987542087542087,0.00035473581659439693,3,0.9985185185185186,0.0006088599771052239,3,0.9987878787878788,0.0007626095389162128,3,0.9978787878787879,0.0018542989647157633,3,,,0,0.00030303030303030303,0.00020202020202020202,3
cifar100,resnet18,full,dynamic,0.05,10,3,0.7630666666666667,0.0020744477176668726,3,0.975138814066592,0.001411823533238298,3,0.023260905349794237,0.0011409687478117928,3,0.9991582491582491,0.0002102692928753594,3,0.996936026936027,0.0008410771715014731,3,0.0006654650079054803,0.0002499941201857652,3,0.023075925925925927,0.0008910448391353796,3,0.9984040404040405,0.00030820497580590837,3,0.9986195286195286,0.0005563202573016434,3,0.9986531986531987,0.0006725583958059897,3,0.9984848484848485,0.000303030303030305,3,0.9981144781144782,0.0012548582595006143,3,0.9986195286195286,0.00015429547794461784,3,0.9983164983164984,0.0006725583958060175,3,0.9982154882154882,0.0013451167916120072,3,0.9985185185185186,0.00035473581659439693,3,0.9975757575757576,0.0011472542112727704,3,0.9989225589225589,0.0004205385857507366,3,0.0005723905723905724,0.00015429547794464107,3
cifar100,vgg11,full,dynamic,0.05,6,3,0.6838333333333333,0.004398105652816109,3,0.979046141079829,0.0023390843690845237,3,0.019631205673758867,0.0023785419690000964,3,0.9994949494949495,0.0001749546270271284,3,0.9981818181818182,0.0005050505050505083,3,0.0004458987179795115,0.0001585597692998245,3,0.019400118203309693,0.001633332268322706,3,0.9988103254769922,0.00015642379197264587,3,0.9993602693602693,0.0002102692928753594,3,,,0,0.9992592592592593,0.00030859095588928415,3,0.9983838383838384,0.0006144204576058665,3,0.9985521885521885,0.000254203179638718,3,0.9985521885521885,0.00047735511376292416,3,0.9987542087542087,0.0002102692928753594,3,,,0,,,0,,,0,0.00016835016835016836,0.00015429547794464107,3
