dataset,model,kc,mode,num_seeds,clean_acc_mean,clean_acc_std,valid_asr_mean,valid_asr_std,wrong_asr_mean,wrong_asr_std,single_leak_mean,single_leak_std,invalid_leak_mean,invalid_leak_std,csg_mean,csg_std
cifar10,resnet18,4,fixed,3,0.9417333333333332,0.0013012814197295099,0.999962962962963,1.603750747746647e-05,3.7037037037037037e-05,6.415002990995842e-05,0.0097625,0.0003314268395890711,0.010872222222222222,0.0008880508202007688,0.9890907407407408,0.0008739205569831304
cifar10,resnet18,4,dynamic,3,0.9403,0.0005196152422706701,0.9999074074074074,5.7824055540704726e-05,0.00014814814814814815,6.415002990995842e-05,0.010191666666666667,0.0006591108278076858,0.014761111111111112,0.0010845292544250265,0.9851462962962962,0.0010937862280890377
cifar10,resnet18,8,fixed,3,0.9422,0.0015716233645501677,0.1935740740740741,0.0032944003338499744,0.6351481481481481,0.007350429006824175,0.0148625,0.001011110157203457,0.08454047619047618,0.001563282797110457,-0.44157407407407406,0.004597669777923504
cifar10,resnet18,8,dynamic,3,0.9405333333333333,0.0010016652800877819,0.9998657407407406,8.018753738733236e-06,0.0004444444444444445,6.639355251516202e-20,0.02045,0.0007843936750764889,0.032038095238095234,0.0017464882159451778,0.9678276455026454,0.0017444700056140651
cifar10,vgg11,4,fixed,3,0.9061,0.0034394767043839877,0.9994351851851851,5.7824055540704726e-05,0.00037037037037037035,6.415002990995844e-05,0.0225125,0.0005764926278800092,0.026619444444444446,0.0005137236971729436,0.9728157407407406,0.0005713473174887651
cifar10,vgg11,4,dynamic,3,0.9061333333333333,0.002779088579612615,0.9993148148148148,0.0002362472374476438,0.0008518518518518519,0.00039020939825380513,0.023791666666666666,0.0007304037125681486,0.031705555555555556,0.0005798906346442822,0.9676092592592592,0.00039130532320306636
cifar10,vgg11,8,fixed,3,0.9056333333333333,0.0028571547618800024,0.25203703703703706,0.007568773330765707,0.5748888888888889,0.007373626676905333,0.0333125,0.001578715854737641,0.1211267857142857,0.002607636328054158,-0.3228518518518519,0.01420786719484445
cifar10,vgg11,8,dynamic,3,0.9047999999999999,0.0018027756377319655,0.9987037037037036,0.0007719690498922891,0.0022592592592592595,0.001316248566216064,0.04742916666666666,0.001312356142909895,0.07182678571428572,0.001407907469927463,0.926876917989418,0.0021513226771090275
cifar100,resnet18,4,fixed,3,0.7654,0.002762245463386616,0.9992929292929293,0.00030617059729750673,0.0,0.0,0.004133333333333333,0.0005822012824902854,0.004086111111111111,0.0003150543750835071,0.9950873737373738,0.0008236769497065193
cifar100,resnet18,4,dynamic,3,0.7629333333333334,0.000808290376865497,0.9994612794612795,0.00017736790829717212,0.0,0.0,0.004970833333333333,0.0010050912064749815,0.004805555555555556,0.0008007519614110878,0.9943404461279463,0.0007635273409083996
