run_name,dataset,model,kc,seed,mode,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,dynamic,0.7628,0.9992929292929293,0.0,0.0038125,0.004083333333333333,0.995209595959596
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,4,1,dynamic,0.7622,0.9996464646464647,0.0,0.0056125,0.004666666666666667,0.9940339646464647
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,4,2,dynamic,0.7638,0.9994444444444445,0.0,0.0054875,0.005666666666666667,0.9937777777777778
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,8,0,dynamic,0.7612,0.9989015151515153,0.00010101010101010101,0.0073,0.009794642857142858,0.9891068722943724
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,8,1,dynamic,0.7608,0.9983207070707071,0.00030303030303030303,0.0071625,0.009969642857142857,0.9883510642135642
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,8,2,dynamic,0.7625,0.9990277777777776,0.000505050505050505,0.0103375,0.0129875,0.9860402777777776
cifar100_resnet18_full_pr0.05_kc4_seed0,cifar100,resnet18,4,0,fixed,0.7632,0.999469696969697,0.0,0.003875,0.003975,0.9954946969696971
cifar100_resnet18_full_pr0.05_kc4_seed1,cifar100,resnet18,4,1,fixed,0.7645,0.998939393939394,0.0,0.0048,0.004441666666666667,0.994139393939394
cifar100_resnet18_full_pr0.05_kc4_seed2,cifar100,resnet18,4,2,fixed,0.7685,0.999469696969697,0.0,0.003725,0.003841666666666667,0.9956280303030304
cifar100_resnet18_full_pr0.05_kc8_seed0,cifar100,resnet18,8,0,fixed,0.7682,0.5872348484848484,0.030404040404040406,0.013525,0.254475,0.3327598484848484
cifar100_resnet18_full_pr0.05_kc8_seed1,cifar100,resnet18,8,1,fixed,0.7654,0.5698737373737373,0.034444444444444444,0.0146875,0.24791964285714285,0.3219540945165944
cifar100_resnet18_full_pr0.05_kc8_seed2,cifar100,resnet18,8,2,fixed,0.7641,0.5692045454545455,0.03484848484848485,0.014775,0.2478357142857143,0.3213688311688312
cifar100_vgg11_full_dyn_pr0.05_kc4_seed0,cifar100,vgg11,4,0,dynamic,0.6857,0.9994949494949495,0.0,0.0056,0.005833333333333334,0.9936616161616162
cifar100_vgg11_full_dyn_pr0.05_kc4_seed1,cifar100,vgg11,4,1,dynamic,0.6869,0.9994444444444445,0.0,0.00535,0.006716666666666667,0.9927277777777778
cifar100_vgg11_full_dyn_pr0.05_kc4_seed2,cifar100,vgg11,4,2,dynamic,0.6884,0.9990909090909091,0.00010101010101010101,0.0063625,0.00715,0.9919409090909092
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,8,0,dynamic,0.6804,0.9985606060606059,0.00040404040404040404,0.0123625,0.016332142857142858,0.982228463203463
cifar100_vgg11_full_dyn_pr0.05_kc8_seed1,cifar100,vgg11,8,1,dynamic,0.6824,0.9976515151515152,0.00020202020202020202,0.01193125,0.015735714285714287,0.9819158008658009
cifar100_vgg11_full_dyn_pr0.05_kc8_seed2,cifar100,vgg11,8,2,dynamic,0.6789,0.9979797979797982,0.00030303030303030303,0.01600625,0.021030357142857142,0.976949440836941
cifar100_vgg11_full_pr0.05_kc4_seed0,cifar100,vgg11,4,0,fixed,0.6882,0.9990404040404041,0.00010101010101010101,0.0045875,0.004933333333333333,0.9941070707070707
cifar100_vgg11_full_pr0.05_kc4_seed1,cifar100,vgg11,4,1,fixed,0.6847,0.9989898989898991,0.0,0.00545,0.005583333333333333,0.9934065656565657
cifar100_vgg11_full_pr0.05_kc4_seed2,cifar100,vgg11,4,2,fixed,0.6844,0.9990404040404041,0.00020202020202020202,0.006125,0.006266666666666667,0.9927737373737374
cifar100_vgg11_full_pr0.05_kc8_seed0,cifar100,vgg11,8,0,fixed,0.6852,0.6887121212121212,0.01919191919191919,0.0200375,0.29880357142857145,0.3899085497835498
cifar100_vgg11_full_pr0.05_kc8_seed1,cifar100,vgg11,8,1,fixed,0.6817,0.6827272727272728,0.02101010101010101,0.023575,0.2974,0.38532727272727285
cifar100_vgg11_full_pr0.05_kc8_seed2,cifar100,vgg11,8,2,fixed,0.6839,0.687159090909091,0.023232323232323233,0.0257,0.30059285714285716,0.38656623376623384
cifar10_resnet18_full_dyn_pr0.05_kc4_seed0,cifar10,resnet18,4,0,dynamic,0.9406,0.9998888888888889,0.00022222222222222223,0.0109375,0.016,0.9838888888888889
cifar10_resnet18_full_dyn_pr0.05_kc4_seed1,cifar10,resnet18,4,1,dynamic,0.9406,0.9998611111111112,0.00011111111111111112,0.00995,0.013983333333333334,0.9858777777777779
cifar10_resnet18_full_dyn_pr0.05_kc4_seed2,cifar10,resnet18,4,2,dynamic,0.9397,0.9999722222222223,0.00011111111111111112,0.0096875,0.0143,0.9856722222222223
cifar10_resnet18_full_dyn_pr0.05_kc8_seed0,cifar10,resnet18,8,0,dynamic,0.9415,0.9998611111111111,0.00044444444444444447,0.0196625,0.030092857142857143,0.969768253968254
cifar10_resnet18_full_dyn_pr0.05_kc8_seed1,cifar10,resnet18,8,1,dynamic,0.9406,0.999875,0.00044444444444444447,0.02045625,0.03255,0.967325
cifar10_resnet18_full_dyn_pr0.05_kc8_seed2,cifar10,resnet18,8,2,dynamic,0.9395,0.9998611111111111,0.00044444444444444447,0.02123125,0.03347142857142857,0.9663896825396825
cifar10_resnet18_full_pr0.05_kc4_seed0,cifar10,resnet18,4,0,fixed,0.943,0.9999722222222223,0.0,0.0096875,0.010908333333333334,0.989063888888889
cifar10_resnet18_full_pr0.05_kc4_seed1,cifar10,resnet18,4,1,fixed,0.9418,0.9999722222222223,0.0,0.010125,0.011741666666666666,0.9882305555555556
cifar10_resnet18_full_pr0.05_kc4_seed2,cifar10,resnet18,4,2,fixed,0.9404,0.9999444444444445,0.00011111111111111112,0.009475,0.009966666666666667,0.9899777777777778
cifar10_resnet18_full_pr0.05_kc8_seed0,cifar10,resnet18,8,0,fixed,0.9419,0.19731944444444446,0.6433333333333333,0.01535,0.08623928571428571,-0.4460138888888888
cifar10_resnet18_full_pr0.05_kc8_seed1,cifar10,resnet18,8,1,fixed,0.9408,0.19112500000000002,0.633,0.0155375,0.08421964285714285,-0.441875
cifar10_resnet18_full_pr0.05_kc8_seed2,cifar10,resnet18,8,2,fixed,0.9439,0.19227777777777777,0.6291111111111111,0.0137,0.0831625,-0.4368333333333333
cifar10_vgg11_full_dyn_pr0.05_kc4_seed0,cifar10,vgg11,4,0,dynamic,0.905,0.9995555555555555,0.00044444444444444447,0.0232625,0.032375,0.9671805555555555
cifar10_vgg11_full_dyn_pr0.05_kc4_seed1,cifar10,vgg11,4,1,dynamic,0.9041,0.9990833333333333,0.0012222222222222222,0.024625,0.03138333333333333,0.9677
cifar10_vgg11_full_dyn_pr0.05_kc4_seed2,cifar10,vgg11,4,2,dynamic,0.9093,0.9993055555555554,0.0008888888888888889,0.0234875,0.031358333333333335,0.9679472222222221
